matrix,n,nnz,c1,c2,c4,c8,c16,c32,c64,c128,best,best@c
m_t1,97578,4925574,0.977543,0.720267,0.550074,0.639872,0.688090,0.931498,1.758547,9.189263,0.550074,4
smt,25710,1889447,0.390920,0.270202,0.203169,0.219042,0.225869,0.308105,0.555567,2.110756,0.203169,4
thread,29736,2249892,1.405407,0.839202,0.565463,0.482369,0.448391,0.511763,0.803749,2.440815,0.448391,16
inla_graph_lgm_10010_bw2,10010,327351,0.076498,0.065079,0.054263,0.068400,0.075449,0.108377,0.237060,1.220635,0.054263,4
inla_graph_lgm_100200_bw1,100200,30054727,22.564334,12.536443,7.420759,4.877943,4.026279,3.702976,4.535112,7.503637,3.702976,32
inla_graph_lgm_100200_bw2,100200,32026662,60.758928,34.187293,19.094720,11.766477,8.379854,7.113039,7.434441,10.358473,7.113039,32
inla_graph_lgm_48600_bw2,48600,35663339,43.759689,22.647285,12.574746,7.663415,5.640869,4.641075,4.876877,7.112961,4.641075,32
inla_graph_lgm_50000_bw15000,50000,7286160,21.156770,12.251467,7.820744,6.387468,5.465849,5.698738,7.537287,14.610259,5.465849,16
inla_graph_lgm_50400_bw2,50400,23854872,230.561371,127.704319,61.648559,35.860517,23.223267,18.207572,14.791945,17.636303,14.791945,64
bcsstk08,1074,7017,0.001818,0.002245,0.002279,0.003728,0.005513,0.012500,0.046053,0.230868,0.001818,1
bcsstk09,1083,9760,0.001797,0.002130,0.002011,0.003427,0.005099,0.009943,0.050319,0.265411,0.001797,1
bcsstk10,1086,11578,0.000607,0.000613,0.000614,0.000617,0.000673,0.000617,0.000638,0.000634,0.000607,1
bcsstk11,1473,17857,0.001585,0.002007,0.002018,0.003990,0.005752,0.015403,0.090395,0.438733,0.001585,1
bcsstk13,2003,42943,0.006970,0.006552,0.005546,0.009885,0.012183,0.019845,0.078028,0.349889,0.005546,4
bcsstk14,1806,32630,0.003043,0.003553,0.003290,0.006666,0.008533,0.020492,0.104020,0.488573,0.003043,1
bcsstk15,3948,60882,0.015776,0.014134,0.012031,0.017873,0.025643,0.042955,0.147842,0.576016,0.012031,4
bcsstk16,4884,147631,0.019453,0.017880,0.015338,0.022639,0.029341,0.042414,0.130949,0.754358,0.015338,4
bcsstk17,10974,219812,0.026655,0.027967,0.025345,0.043071,0.061951,0.094324,0.372192,2.047652,0.025345,4
bcsstk18,11948,80519,0.024132,0.025952,0.025021,0.041402,0.053158,0.117226,0.561084,2.297802,0.024132,1
inla_graph_83o4NNNo,25853,778924,0.255141,0.195732,0.157758,0.195679,0.210372,0.310155,0.614017,2.853317,0.157758,4
inla_graph_8rtKSK,7860,32965,0.000788,0.000797,0.000797,0.000800,0.000793,0.000840,0.000784,0.000780,0.000780,128
inla_graph_animal1,5126,2644501,1.100326,0.652579,0.356683,0.233033,0.177476,0.167081,0.191852,0.309231,0.167081,32
inla_graph_animal2,50126,251427001,NA,380.647116,196.067413,107.065275,72.555473,56.887983,38.550552,30.697051,30.697051,128
inla_graph_ayaLRw,69224,168584,0.012380,0.012380,0.012330,0.012231,0.012203,0.012344,0.012203,0.012242,0.012203,16
inla_graph_bern_spd,96344,2181456,0.539693,0.642525,0.639874,1.259183,1.373846,2.108260,3.680413,10.761896,0.539693,1
inla_graph_diff,21529,200017,0.046690,0.056216,0.056189,0.107056,0.146419,0.339698,1.427063,5.323956,0.046690,1
inla_graph_ferris,42961,650694,0.161814,0.175316,0.166244,0.311602,0.393218,0.866130,2.525201,10.419996,0.161814,1
inla_graph_lidense,12509,17292917,1.975978,1.163494,0.707271,0.506987,0.428081,0.407505,0.572191,1.151507,0.407505,32
inla_graph_net1628760,1628760,14802802,3.813786,3.953817,3.725250,6.001031,7.550643,17.720565,79.790906,428.897570,3.725250,4
inla_graph_net814381,81438,189532,0.011827,0.011753,0.011706,0.011624,0.011720,0.011714,0.011657,0.011665,0.011624,8
inla_graph_pedigree,92699,277983,0.005334,0.005325,0.005283,0.005242,0.005375,0.005249,0.005396,0.005246,0.005242,8
inla_graph_sem_n100000,600006,2700006,0.146208,0.150041,0.149944,0.153308,0.146562,0.152865,0.149225,0.154381,0.146208,1
inla_graph_sem_n20000,120006,540006,0.019793,0.019516,0.020021,0.019901,0.019515,0.020020,0.020218,0.019847,0.019515,16
inla_graph_sem_n2000,12006,54006,0.001299,0.001299,0.001317,0.001309,0.001297,0.001318,0.001341,0.001306,0.001297,16
inla_graph_sem_n5000,30006,135006,0.003470,0.003396,0.003465,0.003496,0.003338,0.003425,0.003381,0.003401,0.003338,16
inla_graph_sh7Pgi,15815,55395,0.003412,0.003386,0.003426,0.003484,0.003451,0.003428,0.003379,0.003405,0.003379,64
inla_graph_spacetime,24931,644273,0.751478,0.471137,0.323082,0.312869,0.303199,0.397145,0.757946,2.977963,0.303199,16
inla_graph_stcov,24300,7388370,1.277247,0.987027,0.847501,1.041386,1.207286,1.386606,1.786407,3.943235,0.847501,4
inla_graph_yU0G1u,1517823,9238726,2.333239,2.356104,2.379987,2.376493,2.305310,2.424234,2.370897,2.392316,2.305310,16
audikw_1,943695,39297771,153.586219,84.589403,50.525246,36.019515,28.996073,29.020226,42.604827,149.851225,28.996073,16
bmw3_2,227362,5757996,1.372530,1.100310,0.898265,1.195300,1.407161,2.197371,6.808726,42.458248,0.898265,4
bmw7st_1,141347,3740507,0.776949,0.652585,0.545715,0.750712,0.882533,1.385849,4.099716,26.006099,0.545715,4
crankseg_1,52804,5333507,1.373751,0.886219,0.674729,0.653724,0.667468,0.816345,1.419178,4.630311,0.653724,8
crankseg_2,63838,7106348,1.944213,1.246404,0.932377,0.892995,0.900483,1.086719,1.851976,6.021050,0.892995,8
hood,220542,5494489,0.828986,0.755466,0.665181,0.981908,1.229123,2.104352,9.026496,46.677725,0.665181,4
oilpan,73752,1835470,0.321507,0.276490,0.234624,0.336061,0.413842,0.757888,3.070550,15.068073,0.234624,4
pwtk,217918,5926171,1.336927,1.086726,0.910131,1.180623,1.416352,2.063994,4.855862,32.251113,0.910131,4
ship_001,34920,2339575,0.503750,0.362007,0.276043,0.315836,0.345126,0.442099,0.889721,3.529234,0.276043,4
ship_003,121728,4103881,3.086067,1.934059,1.407946,1.337809,1.408521,1.829878,4.141935,20.831066,1.337809,8
shipsec1,140874,3977139,1.556707,1.097453,0.862416,0.951519,1.091317,1.560649,4.136219,26.906256,0.862416,4
shipsec5,179860,5146478,2.670689,1.780715,1.370372,1.383253,1.621941,2.207083,6.156706,42.567114,1.370372,4
shipsec8,114919,3384159,1.532849,1.059404,0.818386,0.877101,0.984388,1.366719,3.537432,21.705579,0.818386,4
bone010,986703,36326514,103.766062,59.163819,36.685646,26.810280,22.824076,24.560618,41.290526,143.488826,22.824076,16
boneS01,127224,3421188,1.637741,1.137531,0.841571,0.939669,1.032261,1.801685,5.655574,24.401761,0.841571,4
boneS10,914898,28191660,10.732780,7.537622,5.715427,6.359990,6.935617,11.425892,34.993459,158.520396,5.715427,4
thermal1,82654,328556,0.110147,0.130458,0.134266,0.240674,0.318575,0.802123,4.703493,22.516724,0.110147,1
thermomech_dM,204316,813716,0.303193,0.355099,0.348852,0.599720,0.760191,2.104629,11.922969,58.260719,0.303193,1
thermomech_TC,102158,406858,0.151355,0.175457,0.176246,0.289078,0.423630,1.086847,6.121430,28.687921,0.151355,1
thermomech_TK,102158,406858,0.156355,0.176505,0.176790,0.324103,0.393116,1.026821,6.062258,28.403510,0.156355,1
nasa2910,2910,88603,0.005444,0.005919,0.005725,0.011309,0.016345,0.032639,0.151652,0.695062,0.005444,1
nasa4704,4704,54730,0.008294,0.009126,0.008520,0.015636,0.021464,0.051609,0.270205,1.215463,0.008294,1
nasasrb,54870,1366097,0.336357,0.277393,0.232387,0.332097,0.379520,0.548327,1.466498,9.575775,0.232387,4
nd12k,36000,7128473,15.621228,8.578985,5.347026,3.511880,2.633335,2.542941,3.069547,5.675514,2.542941,32
nd3k,9000,1644345,0.916960,0.566305,0.392160,0.297564,0.268746,0.299026,0.406794,0.866175,0.268746,16
nd6k,18000,3457658,4.036110,2.321540,1.502913,1.044885,0.847925,0.929616,1.161604,2.354049,0.847925,16
af_0_k101,503625,9027150,3.256100,2.532376,2.088090,2.651786,3.223109,4.930239,16.366308,95.070951,2.088090,4
af_shell3,504855,9046865,3.016575,2.396038,1.979385,2.546928,3.130724,4.956777,16.561060,95.078528,1.979385,4
ecology2,999999,2997995,2.037314,2.063228,1.955580,3.143879,3.994661,10.379132,58.595843,307.463441,1.955580,4
G2_circuit,150102,438388,0.294456,0.330077,0.329893,0.534599,0.661662,1.419342,6.961195,34.383754,0.294456,1
parabolic_fem,525825,2100225,1.364103,1.278144,1.187011,1.884645,2.237097,5.497692,27.925270,135.153609,1.187011,4
tmt_sym,726713,2903837,1.336849,1.441549,1.416924,2.356798,2.900643,6.937144,40.827238,202.906860,1.336849,1
1138_bus,1138,2596,0.000095,0.000096,0.000097,0.000094,0.000096,0.000096,0.000096,0.000096,0.000094,8
apache1,80800,311492,0.419833,0.376726,0.330191,0.481417,0.576981,1.063909,3.669745,17.857602,0.330191,4
apache2,715176,2766523,7.042766,5.204640,4.120246,4.963366,5.800387,10.124758,33.333735,156.890383,4.120246,4
bundle1,10581,390741,0.025400,0.027626,0.026040,0.043132,0.065629,0.090775,0.174039,0.358293,0.025400,1
consph,83334,3046907,4.441804,2.593386,1.696781,1.419043,1.319811,1.604409,2.523040,9.136392,1.319811,16
ct20stif,52329,1375396,0.305569,0.248673,0.205965,0.289378,0.346668,0.555929,1.809872,10.016513,0.205965,4
Emilia_923,923136,20964171,317.296118,167.883476,96.286153,62.967764,46.614680,40.642168,56.008430,164.965860,40.642168,32
Fault_639,638802,14626683,184.778301,97.971114,56.608406,37.808007,27.720696,25.553634,36.990514,113.225700,25.553634,32
gyro_k,17361,519260,0.035051,0.040469,0.039725,0.070456,0.099075,0.186089,0.804671,4.837971,0.035051,1
gyro_m,17361,178896,0.013998,0.014266,0.013958,0.014002,0.013841,0.013862,0.014045,0.013842,0.013841,16
inline_1,503712,18660027,6.199500,4.385928,3.346604,3.767287,4.137035,5.590936,14.355102,73.943735,3.346604,4
ldoor,952203,23737339,4.654863,3.858169,3.265198,4.452662,5.631176,9.057753,33.460664,189.845388,3.265198,4
msc10848,10848,620313,0.051117,0.046952,0.040723,0.059942,0.067745,0.096150,0.217663,1.580121,0.040723,4
msc23052,23052,588933,0.073202,0.071033,0.064631,0.108167,0.135252,0.221385,0.821982,5.610410,0.064631,4
offshore,259789,2251231,3.545204,2.452142,1.848360,2.066855,2.333793,3.952194,12.097631,52.657460,1.848360,4
s3dkq4m2,90449,2455670,0.494388,0.422440,0.349687,0.502561,0.594934,0.834337,1.955912,12.790153,0.349687,4
s3dkt3m2,90449,1921955,0.480246,0.405651,0.341347,0.463958,0.562743,0.868293,2.660844,16.859562,0.341347,4
