matrix,n,nnz,c1,c2,c4,c8,c16,c32,c64,c128,best,best@c
m_t1,97578,4925574,1.223184,0.752739,0.456519,0.327908,0.289749,0.322587,0.494667,2.168867,0.289749,16
smt,25710,1889447,0.530259,0.336780,0.223315,0.182547,0.163629,0.199925,0.428785,0.728937,0.163629,16
thread,29736,2249892,1.645886,1.003646,0.674554,0.516555,0.435180,0.412423,0.679046,1.419477,0.412423,32
inla_graph_lgm_10010_bw2,10010,327351,0.147372,0.106950,0.076557,0.070612,0.073661,0.068006,0.095003,0.221074,0.068006,32
inla_graph_lgm_100200_bw1,100200,30054727,23.954898,13.259276,7.645489,4.936314,4.238430,3.412617,3.328087,5.712381,3.328087,64
inla_graph_lgm_100200_bw2,100200,32026662,63.655685,34.462296,19.466510,11.587305,10.079115,7.853896,9.095731,13.196673,7.853896,32
inla_graph_lgm_48600_bw2,48600,35663339,42.454967,23.393244,13.102479,9.709122,7.902344,7.082157,8.166294,11.069398,7.082157,32
inla_graph_lgm_50000_bw15000,50000,7286160,32.624482,17.897899,10.401331,6.764065,4.894676,4.257115,4.760783,8.835956,4.257115,32
inla_graph_lgm_50400_bw2,50400,23854872,238.525568,126.581903,82.991458,63.958029,53.962698,51.167203,50.542517,56.273797,50.542517,64
bcsstk08,1074,7017,0.005807,0.018646,0.017711,0.019342,0.019537,0.022939,0.037464,0.142682,0.005807,1
bcsstk09,1083,9760,0.019315,0.017796,0.017760,0.019948,0.020918,0.010234,0.043608,0.292914,0.010234,32
bcsstk10,1086,11578,0.017030,0.005118,0.018159,0.017267,0.006862,0.016617,0.093825,0.319846,0.005118,2
bcsstk11,1473,17857,0.018719,0.018025,0.017260,0.019691,0.009240,0.025048,0.072558,0.425337,0.009240,16
bcsstk13,2003,42943,0.013654,0.022761,0.022281,0.023782,0.029987,0.031034,0.023859,0.065610,0.013654,1
bcsstk14,1806,32630,0.008188,0.019022,0.019364,0.019885,0.023002,0.027119,0.031171,0.408190,0.008188,1
bcsstk15,3948,60882,0.037204,0.032027,0.027379,0.031542,0.035649,0.043899,0.060640,0.143985,0.027379,4
bcsstk16,4884,147631,0.039752,0.035307,0.031792,0.033558,0.038706,0.043876,0.056449,0.138021,0.031792,4
bcsstk17,10974,219812,0.049969,0.044372,0.037825,0.035193,0.034804,0.046516,0.075943,1.017735,0.034804,16
bcsstk18,11948,80519,0.037034,0.035306,0.028888,0.029730,0.030219,0.039596,0.062574,3.104243,0.028888,4
inla_graph_83o4NNNo,25853,778924,0.218579,0.158741,0.110676,0.092305,0.082624,0.117373,0.245489,0.863397,0.082624,16
inla_graph_8rtKSK,7860,32965,0.022225,0.021567,0.021885,0.023938,0.027914,0.059153,0.247391,1.631267,0.021567,2
inla_graph_animal1,5126,2644501,0.804365,0.491538,0.335425,0.267664,0.239963,0.221246,0.277363,0.386845,0.221246,32
inla_graph_animal2,50126,251427001,481.815826,251.847967,146.236149,92.924906,71.703629,67.035500,53.764010,58.665996,53.764010,64
