matrix,n,nnz,c1,c2,c4,c8,c16,c32,c64,c128,best,best@c
m_t1,97578,4925574,1.207398,0.660032,0.359760,0.218114,0.134684,0.112486,0.128111,0.181301,0.112486,32
smt,25710,1889447,0.413020,0.230028,0.139773,0.082938,0.057253,0.054274,0.065061,0.093946,0.054274,32
thread,29736,2249892,1.505791,0.828453,0.475524,0.274293,0.156484,0.133023,0.151422,0.194394,0.133023,32
inla_graph_lgm_10010_bw2,10010,327351,0.186825,0.114751,0.066981,0.042398,0.032103,0.026408,0.026905,0.064191,0.026408,32
inla_graph_lgm_100200_bw1,100200,30054727,47.160572,24.201603,13.577258,7.997900,4.255180,2.738631,1.598545,1.365532,1.365532,128
inla_graph_lgm_100200_bw2,100200,32026662,126.116280,67.126470,39.248234,21.891968,11.335515,6.236568,4.073998,4.687905,4.073998,64
inla_graph_lgm_48600_bw2,48600,35663339,111.765167,63.832894,32.972977,19.344075,10.564246,6.193874,4.702794,5.234342,4.702794,64
inla_graph_lgm_50000_bw15000,50000,7286160,68.869567,37.347247,21.057398,12.715897,7.834319,5.329063,4.602102,4.855479,4.602102,64
inla_graph_lgm_50400_bw2,50400,23854872,508.195744,266.916574,136.133868,75.756277,42.530913,25.840682,29.387981,38.653749,25.840682,32
bcsstk08,1074,7017,0.001612,0.001901,0.001061,0.001199,0.001919,0.002188,0.004120,0.005098,0.001061,4
bcsstk09,1083,9760,0.001594,0.001202,0.001194,0.001245,0.001682,0.002264,0.004761,0.005401,0.001194,4
bcsstk10,1086,11578,0.001104,0.000820,0.000780,0.000934,0.001145,0.001705,0.002999,0.003912,0.000780,4
bcsstk11,1473,17857,0.001834,0.001500,0.001274,0.001727,0.001896,0.002475,0.003450,0.005895,0.001274,4
bcsstk13,2003,42943,0.008808,0.005090,0.005488,0.004455,0.005250,0.007412,0.008867,0.013353,0.004455,8
bcsstk14,1806,32630,0.003001,0.002115,0.001810,0.001700,0.002594,0.003489,0.005717,0.008226,0.001700,8
bcsstk15,3948,60882,0.013080,0.008646,0.007030,0.005328,0.005577,0.008425,0.011177,0.039258,0.005328,8
bcsstk16,4884,147631,0.017849,0.011244,0.007744,0.006190,0.006926,0.009943,0.012538,0.019776,0.006190,8
bcsstk17,10974,219812,0.027049,0.017935,0.013574,0.008450,0.008167,0.010298,0.014989,0.030576,0.008167,16
bcsstk18,11948,80519,0.019177,0.012740,0.009311,0.007579,0.007269,0.009740,0.011938,0.016511,0.007269,16
inla_graph_83o4NNNo,25853,778924,0.166756,0.098293,0.060084,0.037417,0.025526,0.021661,0.026821,0.044992,0.021661,32
inla_graph_8rtKSK,7860,32965,0.003497,0.003265,0.002625,0.002343,0.002594,0.002622,0.005171,0.024300,0.002343,8
inla_graph_animal1,5126,2644501,2.855865,1.455952,0.890472,0.488844,0.291698,0.273690,0.259743,0.269254,0.259743,64
inla_graph_animal2,50126,251427001,NA,1090.439296,620.786582,321.402928,207.805894,155.490862,249.128973,269.102303,155.490862,32
