matrix,n,nnz,c1,c2,c4,c8,c16,c32,c64,c128,best,best@c
m_t1,97578,4925574,1.567466,1.068672,0.804443,0.695914,0.629158,0.608469,0.614483,0.615749,0.608469,32
smt,25710,1889447,0.703857,0.460082,0.354577,0.296017,0.274530,0.272599,0.277724,0.285412,0.272599,32
thread,29736,2249892,1.958027,1.124817,0.720768,0.548698,0.492010,0.469979,0.489607,0.500613,0.469979,32
inla_graph_lgm_10010_bw2,10010,327351,0.133383,0.086236,0.067027,0.053311,0.051738,0.058561,0.063977,0.063540,0.051738,16
inla_graph_lgm_100200_bw1,100200,30054727,30.047368,16.981742,10.729227,7.343533,5.789748,5.001430,4.739975,4.421699,4.421699,128
inla_graph_lgm_100200_bw2,100200,32026662,84.282658,47.852901,25.685144,15.235379,10.525120,8.104187,7.452598,6.666450,6.666450,128
inla_graph_lgm_48600_bw2,48600,35663339,78.901673,41.404221,24.977961,17.151030,11.409585,9.857910,10.029724,9.677377,9.677377,128
inla_graph_lgm_50000_bw15000,50000,7286160,43.552417,23.846850,13.842839,8.077824,4.906402,4.030331,4.131657,3.926894,3.926894,128
inla_graph_lgm_50400_bw2,50400,23854872,296.629113,153.178667,84.648172,51.566034,33.164223,22.119636,17.265438,15.759019,15.759019,128
bcsstk08,1074,7017,0.002073,0.001852,0.001556,0.001477,0.001642,0.002045,0.002662,0.004381,0.001477,8
bcsstk09,1083,9760,0.001958,0.001810,0.001629,0.001636,0.001795,0.002147,0.002905,0.004621,0.001629,4
bcsstk10,1086,11578,0.001774,0.002026,0.001863,0.001913,0.002150,0.002451,0.003036,0.004769,0.001774,1
bcsstk11,1473,17857,0.002921,0.003616,0.003009,0.003111,0.003293,0.003860,0.004405,0.006797,0.002921,1
bcsstk13,2003,42943,0.012024,0.010405,0.009442,0.009174,0.009266,0.010243,0.010812,0.014260,0.009174,8
bcsstk14,1806,32630,0.005107,0.004984,0.004872,0.005126,0.005133,0.005431,0.006264,0.007576,0.004872,4
bcsstk15,3948,60882,0.016688,0.014601,0.013194,0.011466,0.011046,0.011548,0.013617,0.014557,0.011046,16
bcsstk16,4884,147631,0.032794,0.028068,0.023870,0.022841,0.023795,0.025443,0.026745,0.063713,0.022841,8
bcsstk17,10974,219812,0.048448,0.040775,0.034337,0.034791,0.035565,0.036618,0.042847,0.046538,0.034337,4
bcsstk18,11948,80519,0.029048,0.022729,0.017777,0.015971,0.015311,0.018606,0.024826,0.034648,0.015311,16
inla_graph_83o4NNNo,25853,778924,0.277122,0.179153,0.135713,0.128809,0.111311,0.124724,0.134346,0.130073,0.111311,16
inla_graph_8rtKSK,7860,32965,0.005235,0.005732,0.005069,0.004917,0.005076,0.005665,0.007894,0.013239,0.004917,8
inla_graph_animal1,5126,2644501,1.036824,0.684602,0.507271,0.484288,0.482642,0.489771,0.516768,0.496553,0.482642,16
inla_graph_animal2,50126,251427001,NA,379.202654,233.174837,157.476746,112.556738,89.528360,57.563234,54.576843,54.576843,128
inla_graph_ayaLRw,69224,168584,0.056692,0.042895,0.032576,0.027621,0.031454,0.046259,0.076421,0.119113,0.027621,8
inla_graph_bern_spd,96344,2181456,1.244867,0.893018,0.602606,0.498238,0.440370,0.431764,0.361567,0.377191,0.361567,64
inla_graph_diff,21529,200017,0.054774,0.044865,0.036622,0.034445,0.036635,0.044074,0.057072,0.096842,0.034445,8
inla_graph_ferris,42961,650694,0.223405,0.160658,0.126089,0.125350,0.150176,0.183172,0.228569,0.298022,0.125350,8
inla_graph_lidense,12509,17292917,3.301894,2.436277,1.857162,1.600986,1.603706,1.605090,1.626240,1.627107,1.600986,8
inla_graph_net1628760,1628760,14802802,7.003653,5.363467,4.247469,4.124117,3.566020,3.816616,4.044571,4.668269,3.566020,16
