matrix,n,nnz,c1,c2,c4,c8,c16,c32,c64,c128,best,best@c
1138_bus,1138,2596,0.000510,0.000511,0.000512,0.000540,0.000553,0.000543,0.000569,0.000511,0.000510,1
Emilia_923,923136,20964171,NA,258.843406,129.658308,64.927420,34.735030,21.736798,18.026937,15.265882,15.265882,128
Fault_639,638802,14626683,297.530823,151.595265,75.283773,39.285496,20.091941,11.443891,7.813467,12.315300,7.813467,64
G2_circuit,150102,438388,0.476167,0.258231,0.135761,0.076471,0.053497,0.049374,0.354913,0.057145,0.049374,32
af_0_k101,503625,9027150,6.789551,3.741576,1.921445,1.069078,0.676287,0.574897,0.693148,0.637898,0.574897,32
af_shell3,504855,9046865,4.375219,2.511731,1.289054,0.691258,0.424717,0.346028,0.393531,0.374501,0.346028,32
apache1,80800,311492,0.462289,0.256188,0.133901,0.075364,0.045016,0.041014,0.047646,0.065915,0.041014,32
apache2,715176,2766523,11.941340,6.530070,3.454213,1.875915,1.136159,0.892618,0.923855,0.864197,0.864197,128
audikw_1,943695,39297771,218.248210,109.638682,59.067483,31.783862,15.142060,11.752569,6.126136,8.653674,6.126136,64
bcsstk08,1074,7017,NA,0.000861,0.000898,0.000905,0.000959,0.000922,0.001060,0.000901,0.000861,2
bcsstk09,1083,9760,NA,0.000698,0.000522,0.000521,0.000550,0.000584,0.000650,0.000558,0.000521,8
bcsstk10,1086,11578,NA,0.000329,0.000333,0.000330,0.000345,0.000329,0.000331,0.000326,0.000326,128
bcsstk11,1473,17857,NA,0.000808,0.000790,0.000784,0.000831,0.000820,0.000912,0.000929,0.000784,8
bcsstk13,2003,42943,NA,0.004620,0.002681,0.002203,0.002567,0.002280,0.002306,0.002296,0.002203,8
bcsstk14,1806,32630,NA,0.001277,0.000740,0.000594,0.000605,0.000669,0.000758,0.000731,0.000594,8
bcsstk15,3948,60882,NA,0.007100,0.004455,0.003187,0.003148,0.003195,0.003229,0.003281,0.003148,16
bcsstk16,4884,147631,NA,0.008762,0.008744,0.008790,0.008859,0.008943,0.008761,0.008860,0.008744,4
bcsstk17,10974,219812,NA,0.012709,0.008657,0.007324,0.006368,0.006479,0.006386,0.006631,0.006368,16
bcsstk18,11948,80519,NA,0.016030,0.009078,0.006122,0.004236,0.004297,0.004487,0.004455,0.004236,16
bmw3_2,227362,5757996,2.619794,1.451321,0.713276,0.406208,0.219379,0.141104,0.136065,0.168849,0.136065,64
bmw7st_1,141347,3740507,0.965329,0.571328,0.296344,0.157597,0.087362,0.072757,0.076535,0.115814,0.072757,32
bone010,986703,36326514,180.076357,97.169277,50.211005,26.022545,12.839561,10.832028,6.353769,8.267622,6.353769,64
