matrix,n,nnz,c1,c2,c4,c8,c16,c32,c64,c128,best,best@c
m_t1,97578,4925574,1.02877,0.752128,0.380358,0.254266,0.183427,0.18517,0.171148,0.180057,0.171148,64
smt,25710,1889447,0.404146,0.324666,0.16612,0.125987,0.110862,0.0990372,0.098325,0.110299,0.098325,64
thread,29736,2249892,1.43502,1.1223,0.876529,0.587284,0.576308,0.578573,0.594535,0.689809,0.576308,16
inla_graph_lgm_10010_bw2,10010,327351,0.106343,0.0814471,0.040844,0.0224419,0.023803,0.0172081,0.020448,0.0238652,0.0172081,32
inla_graph_lgm_100200_bw1,100200,30054727,23.1817,17.448,7.44422,5.48299,3.58951,2.58819,2.38733,2.61719,2.38733,64
inla_graph_lgm_100200_bw2,100200,32026662,69.3991,52.6472,27.2566,14.4841,13.958,12.5636,12.168,13.3298,12.168,64
inla_graph_lgm_48600_bw2,48600,35663339,48.1665,38.1725,21.0448,18.5509,16.3268,15.3755,16.2179,19.6251,15.3755,32
inla_graph_lgm_50000_bw15000,50000,7286160,57.9974,56.3501,42.6159,41.6728,41.6195,42.1873,43.6401,53.7105,41.6195,16
inla_graph_lgm_50400_bw2,50400,23854872,316.408,271.765,176.591,157.127,159.484,164.332,165.745,NA,157.127,8
bcsstk08,1074,7017,0.00605202,0.00430584,0.00383687,0.00395012,0.00506401,0.00504804,0.00639796,0.0104711,0.00383687,4
bcsstk09,1083,9760,0.0036571,0.00293398,0.00273204,0.00268316,0.00473809,0.0050528,0.00613093,0.020155,0.00268316,8
bcsstk10,1086,11578,0.00305295,0.00251484,0.002496,0.00409389,0.00405478,0.00486994,0.00531387,0.022614,0.002496,4
bcsstk11,1473,17857,0.00402403,0.00333595,0.00312304,0.00301695,0.00366998,0.00483513,0.00634098,0.0197759,0.00301695,8
bcsstk13,2003,42943,0.01039,0.00916982,0.00610805,0.0052712,0.00584197,0.00625396,0.00714397,0.0121109,0.0052712,8
bcsstk14,1806,32630,0.00482798,0.00383711,0.00327992,0.00322795,0.0032649,0.00432301,0.00728488,0.0107989,0.00322795,8
bcsstk15,3948,60882,0.0147429,0.0120821,0.00799298,0.00745201,0.00733495,0.00727701,0.00872087,0.011857,0.00727701,32
bcsstk16,4884,147631,0.0198541,0.0152669,0.00898409,0.00742507,0.00772214,0.00556111,0.00970316,0.0128651,0.00556111,32
bcsstk17,10974,219812,0.031441,0.024672,0.0172851,0.0107319,0.00678802,0.00721598,0.00964904,0.0234811,0.00678802,16
bcsstk18,11948,80519,0.0581911,0.0386798,0.0449641,0.028578,0.0170381,0.0104721,0.0115499,0.0253401,0.0104721,32
inla_graph_83o4NNNo,25853,778924,0.162167,0.124594,0.052721,0.034179,0.0222111,0.0189128,0.0194619,0.0269499,0.0189128,32
inla_graph_8rtKSK,7860,32965,4.32668,4.33322,4.38004,4.36416,4.36242,4.41682,4.64608,5.39007,4.32668,1
inla_graph_animal1,5126,2644501,0.942955,0.939303,1.04531,1.04547,1.05018,0.970521,1.035,1.21784,0.939303,2
inla_graph_animal2,50126,251427001,NA,NA,NA,NA,NA,NA,NA,NA,,
inla_graph_ayaLRw,69224,168584,1.41806,1.35803,1.41058,0.785059,0.628351,0.319629,0.277666,0.336482,0.277666,64
inla_graph_bern_spd,96344,2181456,0.932097,1.24133,1.2641,0.730863,0.724112,0.72433,0.71904,0.884786,0.71904,64
inla_graph_diff,21529,200017,0.0756221,0.048255,0.063277,0.0438011,0.0218861,0.0210772,0.0220768,0.0305779,0.0210772,32
inla_graph_ferris,42961,650694,0.180322,0.170331,0.09251,0.092273,0.079592,0.0684221,0.0756199,0.0729389,0.0684221,32
inla_graph_lidense,12509,17292917,4.32126,3.69596,1.79542,3.70424,3.71099,3.82172,3.99556,4.75433,1.79542,4
inla_graph_net1628760,1628760,14802802,4.90492,7.79154,3.48019,3.52315,3.73978,0.981051,0.527344,0.362057,0.362057,128
inla_graph_net814381,81438,189532,2.11584,2.21929,2.2131,1.73505,1.61435,1.64625,1.72162,1.96173,1.61435,16
inla_graph_pedigree,92699,277983,NA,NA,NA,NA,NA,NA,NA,NA,,
inla_graph_sem_n100000,600006,2700006,0.315496,0.33219,0.337686,0.352766,0.356981,0.366784,0.383622,0.473344,0.315496,1
inla_graph_sem_n20000,120006,540006,0.0614951,0.064604,0.0608609,0.0674739,0.069983,0.0728109,0.076818,0.093591,0.0608609,4
inla_graph_sem_n2000,12006,54006,0.00723386,0.00655293,0.00685596,0.0076828,0.0082171,0.00862885,0.010839,0.019448,0.00655293,2
inla_graph_sem_n5000,30006,135006,0.015142,0.0147579,0.0147018,0.0169799,0.017725,0.018981,0.0194619,0.026571,0.0147018,4
inla_graph_sh7Pgi,15815,55395,33.7465,33.8266,34.0443,34.096,33.8631,34.7289,36.4978,42.9991,33.7465,1
inla_graph_spacetime,24931,644273,0.803381,0.677566,0.398638,0.304868,0.275122,0.255064,0.269869,0.304257,0.255064,32
inla_graph_stcov,24300,7388370,1.16802,1.9089,0.867383,0.893778,0.856214,0.858958,0.891565,1.1563,0.856214,16
inla_graph_yU0G1u,1517823,9238726,NA,NA,NA,NA,NA,NA,NA,NA,,
audikw_1,943695,39297771,187.997,160.716,84.9043,76.0618,75.7876,63.5183,63.1928,75.4459,63.1928,64
bmw3_2,227362,5757996,1.74212,1.02431,1.21912,0.90109,0.395469,0.342919,0.361223,0.429864,0.342919,32
bmw7st_1,141347,3740507,0.829688,1.41058,0.746626,0.477737,0.393854,0.187606,0.228631,0.197103,0.187606,32
crankseg_1,52804,5333507,1.28997,1.04867,0.430583,0.312664,0.246636,0.193138,0.225027,0.21806,0.193138,32
crankseg_2,63838,7106348,1.83237,1.49722,0.642576,0.47493,0.34752,0.31283,0.282554,0.292628,0.282554,64
hood,220542,5494489,0.81168,0.63588,0.299074,0.192595,0.127935,0.09512,0.0861549,0.0975728,0.0861549,64
oilpan,73752,1835470,0.278029,0.234887,0.0951579,0.076158,0.049252,0.04632,0.042726,0.0461671,0.042726,64
pwtk,217918,5926171,1.43929,1.1094,0.419639,0.504722,0.227817,0.171388,0.158707,0.164364,0.158707,64
ship_001,34920,2339575,0.485584,0.353092,0.174422,0.11998,0.0923731,0.0731659,0.0856431,0.0892758,0.0731659,32
ship_003,121728,4103881,4.11948,4.53047,4.45557,4.42295,2.26177,2.04251,0.698736,0.59857,0.59857,128
shipsec1,140874,3977139,3.09298,2.59389,2.13073,1.94253,1.8438,1.75449,1.83778,2.1059,1.75449,32
shipsec5,179860,5146478,2.78189,3.52258,3.38046,3.34485,1.40869,0.852144,0.534032,0.588205,0.534032,64
shipsec8,114919,3384159,2.09517,1.43485,1.03517,1.11837,0.895612,0.682456,0.634099,0.725214,0.634099,64
bone010,986703,36326514,134.637,72.6629,49.9672,38.9201,39.3283,34.8733,34.5279,41.7019,34.5279,64
boneS01,127224,3421188,1.88672,1.58201,0.903421,0.743203,0.67051,0.695235,0.690439,0.785241,0.67051,16
boneS10,914898,28191660,11.4568,5.96179,4.82902,2.90462,1.93251,1.39302,1.27325,1.35454,1.27325,64
thermal1,82654,328556,0.130527,0.100682,0.0386789,0.024214,0.023159,0.014581,0.0132439,0.0258551,0.0132439,64
thermomech_dM,204316,813716,0.326558,0.198612,0.140166,0.068954,0.038851,0.0214648,0.0154028,0.034359,0.0154028,64
thermomech_TC,102158,406858,0.166518,0.143258,0.0611858,0.0350111,0.020664,0.0132141,0.0122001,0.019063,0.0122001,64
thermomech_TK,102158,406858,0.167833,0.120814,0.0667942,0.0355761,0.0212121,0.0136781,0.0127289,0.021533,0.0127289,64
nasa2910,2910,88603,0.00826406,0.00727391,0.00527811,0.004457,0.00404692,0.00481081,0.00534391,0.011245,0.00404692,16
nasa4704,4704,54730,0.011188,0.00909114,0.00662017,0.005898,0.00555801,0.00587296,0.00776291,0.0127809,0.00555801,16
nasasrb,54870,1366097,0.275843,0.209547,0.0861971,0.073714,0.045295,0.03724,0.032007,0.0395021,0.032007,64
nd12k,36000,7128473,23.1338,18.7739,14.9542,13.8923,13.7841,13.958,14.5614,17.4075,13.7841,16
nd3k,9000,1644345,0.97299,0.872431,0.771705,0.619819,0.555342,0.551507,0.578011,0.694183,0.551507,32
nd6k,18000,3457658,5.52505,4.67859,4.01053,4.00561,3.93932,3.96552,4.33398,5.01935,3.93932,16
af_0_k101,503625,9027150,3.40752,2.64107,1.23234,0.711569,0.700405,0.498699,0.509708,0.534772,0.498699,32
af_shell3,504855,9046865,3.09732,2.46035,1.07924,0.692298,0.535883,0.488264,0.428569,0.49536,0.428569,64
ecology2,999999,2997995,2.56625,2.02331,0.922205,0.889361,0.455862,0.355122,0.376429,0.308145,0.308145,128
G2_circuit,150102,438388,0.487161,0.25126,0.299933,0.306532,0.139673,0.145274,0.0490072,0.035439,0.035439,128
parabolic_fem,525825,2100225,1.17164,0.874903,0.391759,0.217084,0.205637,0.139327,0.111079,0.112397,0.111079,64
tmt_sym,726713,2903837,1.53162,1.16096,0.480145,0.310399,0.205868,0.215806,0.169461,0.191364,0.169461,64
1138_bus,1138,2596,0.0236759,0.023777,0.023922,0.0237951,0.023566,0.02356,0.0251,0.030021,0.02356,32
apache1,80800,311492,0.583132,0.461588,0.220316,0.174133,0.145252,0.124332,0.137178,0.14926,0.124332,32
apache2,715176,2766523,10.782,5.95576,4.03502,2.9778,2.21984,2.28959,2.10688,2.43171,2.10688,64
bundle1,10581,390741,0.0485339,0.0990009,0.0753791,0.04269,0.05897,0.0407541,0.030256,0.023299,0.023299,128
consph,83334,3046907,4.94164,4.44117,3.24242,2.91436,2.88874,2.34755,2.46555,2.8693,2.34755,32
ct20stif,52329,1375396,0.346218,0.208959,0.197651,0.131322,0.064836,0.0760131,0.0795059,0.0867178,0.064836,16
Emilia_923,923136,20964171,397.301,362.55,197.354,185.442,170.585,163.122,171.706,NA,163.122,32
Fault_639,638802,14626683,253.268,215.961,166.865,164.533,154.867,154.483,164.135,NA,154.483,32
gyro_k,17361,519260,0.0424109,0.0296619,0.025279,0.0108871,0.014668,0.00991416,0.00643706,0.022238,0.00643706,64
gyro_m,17361,178896,0.201317,0.195918,0.19746,0.194544,0.193623,0.197738,0.20635,0.239044,0.193623,16
inline_1,503712,18660027,6.44326,3.28843,2.77157,1.28738,0.864361,0.609499,0.544211,0.61296,0.544211,64
ldoor,952203,23737339,6.02672,3.3256,3.18876,1.90094,1.64647,1.44338,1.50308,1.62023,1.44338,32
msc10848,10848,620313,0.0558212,0.044569,0.0221488,0.021069,0.015238,0.0138438,0.0146351,0.0325179,0.0138438,32
msc23052,23052,588933,0.078229,0.054538,0.064538,0.039479,0.0175221,0.014215,0.0158679,0.0281949,0.014215,32
offshore,259789,2251231,3.95586,3.48447,1.90375,1.11925,0.85905,0.729878,0.781356,0.93263,0.729878,32
s3dkq4m2,90449,2455670,0.541438,0.424769,0.183702,0.133466,0.108325,0.108366,0.106856,0.111513,0.106856,64
s3dkt3m2,90449,1921955,0.484793,0.380107,0.188992,0.136061,0.108953,0.110678,0.108379,0.116773,0.108379,64
