matrix,class,n,nnz,nnz_per_row,density_pct,fill_ratio
inla_graph_83o4NNNo,INLA,25853,1531995,59.26,0.2292,6.024
inla_graph_8rtKSK,INLA,7860,58070,7.39,0.094,1.27
inla_graph_animal1,INLA,5126,5283876,1030.8,20.11,4.175
inla_graph_animal2,INLA,50126,502803876,10030.8,20.01,3.458
inla_graph_ayaLRw,INLA,69224,267944,3.87,0.005592,2.209
inla_graph_bern_spd,INLA,96344,4266568,44.28,0.04597,1.983
inla_graph_diff,INLA,21529,378505,17.58,0.08166,3.6
inla_graph_ferris,INLA,42961,1258427,29.29,0.06818,5.393
inla_graph_lgm_10010_bw2,INLA,10010,644692,64.4,0.6434,5.939
inla_graph_lgm_100200_bw1,INLA,100200,60009254,598.89,0.5977,9.296
inla_graph_lgm_100200_bw2,INLA,100200,63953124,638.25,0.637,14.374
inla_graph_lgm_48600_bw2,INLA,48600,71278078,1466.63,3.018,5.031
inla_graph_lgm_50000_bw15000,INLA,50000,14522320,290.45,0.5809,18.748
inla_graph_lgm_50400_bw2,INLA,50400,47659344,945.62,1.876,22.007
inla_graph_lidense,INLA,12509,34573325,2763.88,22.1,1.0
inla_graph_net1628760,INLA,1628760,27976844,17.18,0.001055,7.942
inla_graph_net814381,INLA,81438,297626,3.65,0.004488,2.058
inla_graph_pedigree,INLA,92699,463267,5.0,0.005391,1.061
inla_graph_sem_n100000,INLA,600006,4800006,8.0,0.001333,1.556
inla_graph_sem_n2000,INLA,12006,96006,8.0,0.0666,1.556
inla_graph_sem_n20000,INLA,120006,960006,8.0,0.006666,1.556
inla_graph_sem_n5000,INLA,30006,240006,8.0,0.02666,1.556
inla_graph_sh7Pgi,INLA,15815,94975,6.01,0.03797,2.221
inla_graph_spacetime,INLA,24931,1263615,50.68,0.2033,27.948
inla_graph_stcov,INLA,24300,14752440,607.1,2.498,1.736
inla_graph_yU0G1u,INLA,1517823,16959629,11.17,0.0007362,1.431
1138_bus,SuiteSparse,1138,4054,3.56,0.313,1.258
af_0_k101,SuiteSparse,503625,17550675,34.85,0.00692,13.433
af_shell3,SuiteSparse,504855,17588875,34.84,0.006901,10.984
apache1,SuiteSparse,80800,542184,6.71,0.008305,29.701
apache2,SuiteSparse,715176,4817870,6.74,0.000942,64.08
audikw_1,SuiteSparse,943695,77651847,82.28,0.008719,32.512
bcsstk08,SuiteSparse,1074,12960,12.07,1.124,4.227
bcsstk09,SuiteSparse,1083,18437,17.02,1.572,5.05
bcsstk10,SuiteSparse,1086,22070,20.32,1.871,1.787
bcsstk11,SuiteSparse,1473,34241,23.25,1.578,3.034
bcsstk13,SuiteSparse,2003,83883,41.88,2.091,6.101
bcsstk14,SuiteSparse,1806,63454,35.14,1.945,3.669
bcsstk15,SuiteSparse,3948,117816,29.84,0.7559,7.927
bcsstk16,SuiteSparse,4884,290378,59.45,1.217,4.137
bcsstk17,SuiteSparse,10974,428650,39.06,0.3559,4.748
bcsstk18,SuiteSparse,11948,149090,12.48,0.1044,7.06
bmw3_2,SuiteSparse,227362,11288630,49.65,0.02184,8.806
bmw7st_1,SuiteSparse,141347,7339667,51.93,0.03674,7.157
bone010,SuiteSparse,986703,71666325,72.63,0.007361,36.58
boneS01,SuiteSparse,127224,6715152,52.78,0.04149,13.11
boneS10,SuiteSparse,914898,55468422,60.63,0.006627,10.465
bundle1,SuiteSparse,10581,770901,72.86,0.6886,1.105
consph,SuiteSparse,83334,6010480,72.13,0.08655,23.934
crankseg_1,SuiteSparse,52804,10614210,201.01,0.3807,6.654
crankseg_2,SuiteSparse,63838,14148858,221.64,0.3472,6.68
ct20stif,SuiteSparse,52329,2698463,51.57,0.09854,8.087
ecology2,SuiteSparse,999999,4995991,5.0,0.0004996,15.261
Emilia_923,SuiteSparse,923136,41005206,44.42,0.004812,77.904
Fault_639,SuiteSparse,638802,28614564,44.79,0.007012,72.243
G2_circuit,SuiteSparse,150102,726674,4.84,0.003225,22.945
gyro_k,SuiteSparse,17361,1021159,58.82,0.3388,3.013
gyro_m,SuiteSparse,17361,340431,19.61,0.1129,2.329
hood,SuiteSparse,220542,10768436,48.83,0.02214,4.816
inline_1,SuiteSparse,503712,36816342,73.09,0.01451,9.173
ldoor,SuiteSparse,952203,46522475,48.86,0.005131,6.461
m_t1,SuiteSparse,97578,9753570,99.96,0.1024,6.698
msc10848,SuiteSparse,10848,1229778,113.36,1.045,3.309
msc23052,SuiteSparse,23052,1154814,50.1,0.2173,5.442
nasa2910,SuiteSparse,2910,174296,59.9,2.058,2.532
nasa4704,SuiteSparse,4704,104756,22.27,0.4734,5.175
nasasrb,SuiteSparse,54870,2677324,48.79,0.08893,7.427
nd12k,SuiteSparse,36000,14220946,395.03,1.097,16.277
nd3k,SuiteSparse,9000,3279690,364.41,4.049,7.787
nd6k,SuiteSparse,18000,6897316,383.18,2.129,11.518
offshore,SuiteSparse,259789,4242673,16.33,0.006286,70.248
oilpan,SuiteSparse,73752,3597188,48.77,0.06613,5.521
parabolic_fem,SuiteSparse,525825,3674625,6.99,0.001329,17.204
pwtk,SuiteSparse,217918,11634424,53.39,0.0245,8.517
s3dkq4m2,SuiteSparse,90449,4820891,53.3,0.05893,7.933
s3dkt3m2,SuiteSparse,90449,3753461,41.5,0.04588,8.45
ship_001,SuiteSparse,34920,4644230,133.0,0.3809,6.551
ship_003,SuiteSparse,121728,8086034,66.43,0.05457,15.594
shipsec1,SuiteSparse,140874,7813404,55.46,0.03937,9.788
shipsec5,SuiteSparse,179860,10113096,56.23,0.03126,9.914
shipsec8,SuiteSparse,114919,6653399,57.9,0.05038,12.249
smt,SuiteSparse,25710,3753184,145.98,0.5678,6.845
thermal1,SuiteSparse,82654,574458,6.95,0.008409,7.331
thermomech_dM,SuiteSparse,204316,1423116,6.97,0.003409,9.048
thermomech_TC,SuiteSparse,102158,711558,6.97,0.006818,9.048
thermomech_TK,SuiteSparse,102158,711558,6.97,0.006818,9.048
thread,SuiteSparse,29736,4470048,150.32,0.5055,11.646
tmt_sym,SuiteSparse,726713,5080961,6.99,0.0009621,14.115
