matrix,n,nnz,c1,c2,c4,c8,c16,c32,c40,best,best@c
1138_bus,1138,2596,0.000108,0.000109,0.000109,0.000110,0.000107,0.000110,0.000109,0.000107,16
Emilia_923,923136,20964171,193.669454,106.735490,58.100458,33.378733,23.221882,19.872008,22.146025,19.872008,32
Fault_639,638802,14626683,111.511907,61.887244,34.101960,19.872022,13.972602,12.428792,13.860173,12.428792,32
G2_circuit,150102,438388,0.279154,0.282930,0.279788,0.275941,0.275597,0.300652,0.317101,0.275597,16
af_0_k101,503625,9027150,2.093270,1.784968,1.568631,1.438219,1.417325,1.670443,2.063306,1.417325,16
af_shell3,504855,9046865,1.911692,1.663526,1.524039,1.394263,1.369631,1.611847,1.807494,1.369631,16
apache1,80800,311492,0.326387,0.299825,0.280359,0.273209,0.273110,0.344038,0.377410,0.273110,16
apache2,715176,2766523,4.865967,3.827196,3.141067,2.783573,2.694548,2.912250,3.303508,2.694548,16
audikw_1,943695,39297771,93.686220,53.966303,31.353630,19.709368,14.955853,14.742451,17.133652,14.742451,32
bcsstk08,1074,7017,0.001959,0.002037,0.001988,0.002040,0.001980,0.002037,0.002063,0.001959,1
bcsstk09,1083,9760,0.001657,0.001759,0.001746,0.001687,0.001771,0.001830,0.001754,0.001657,1
bcsstk10,1086,11578,0.000657,0.000661,0.000663,0.000660,0.000661,0.000663,0.000652,0.000652,40
bcsstk11,1473,17857,0.001627,0.001651,0.001639,0.001921,0.001650,0.001665,0.001654,0.001627,1
bcsstk12,1473,17857,0.001659,0.001660,0.001641,0.001642,0.001654,0.001654,0.001642,0.001641,4
bcsstk13,2003,42943,0.004878,0.004982,0.004945,0.005319,0.005341,0.006424,0.009131,0.004878,1
bcsstk14,1806,32630,0.002820,0.002883,0.002957,0.002807,0.003041,0.003860,0.004037,0.002807,8
bcsstk15,3948,60882,0.010480,0.010455,0.010376,0.010801,0.012571,0.016394,0.114543,0.010376,4
bcsstk16,4884,147631,0.012960,0.012805,0.012157,0.012278,0.012298,0.014322,0.016578,0.012157,4
bcsstk17,10974,219812,0.019654,0.020427,0.020521,0.021072,0.021964,0.027523,0.028849,0.019654,1
bcsstk18,11948,80519,0.021312,0.021586,0.021537,0.021166,0.020729,0.023423,0.030150,0.020729,16
bmw3_2,227362,5757996,0.953391,0.834905,0.754198,0.694285,0.684801,0.828788,0.963801,0.684801,16
bmw7st_1,141347,3740507,0.496246,0.451816,0.418885,0.396716,0.393739,0.485438,0.539003,0.393739,16
bone010,986703,36326514,64.138903,38.053886,22.995487,15.069973,11.849386,12.464974,14.405609,11.849386,16
boneS01,127224,3421188,1.061370,0.799095,0.645172,0.555991,0.532651,0.621464,0.687811,0.532651,16
boneS10,914898,28191660,6.909465,5.364320,4.396439,3.864132,3.689618,4.561257,5.543009,3.689618,16
bundle1,10581,390741,0.023496,0.023652,0.023650,0.025229,0.023883,0.025149,0.026717,0.023496,1
consph,83334,3046907,2.593670,1.693360,1.149980,0.878841,0.759529,0.945860,1.000079,0.759529,16
crankseg_1,52804,5333507,0.819805,0.616839,0.496433,0.429168,0.394599,0.536025,0.585575,0.394599,16
crankseg_2,63838,7106348,1.159682,0.847120,0.676466,0.562619,0.524384,0.677714,0.785075,0.524384,16
ct20stif,52329,1375396,0.203940,0.182292,0.164439,0.155769,0.152376,0.201282,0.208844,0.152376,16
ecology2,999999,2997995,1.671622,1.646896,1.545022,1.530613,1.554643,1.639694,1.774512,1.530613,8
gyro_k,17361,519260,0.030883,0.033008,0.031891,0.032743,0.032531,0.035332,0.038293,0.030883,1
gyro_m,17361,178896,0.014734,0.014681,0.014700,0.014722,0.014671,0.014630,0.014823,0.014630,32
hood,220542,5494489,0.569739,0.545063,0.527171,0.498361,0.489988,0.600881,0.664816,0.489988,16
inla_graph_83o4NNNo,25853,778924,0.162500,0.147578,0.128844,0.119964,0.129257,0.184009,0.211385,0.119964,8
inla_graph_8rtKSK,7860,32965,0.000858,0.000864,0.000851,0.000866,0.000868,0.000862,0.000867,0.000851,4
