matrix,n,nnz,c1,c2,c4,c8,c16,c32,c40,min,min@c
1138_bus,1138,2596,0.000490,0.000478,0.000478,0.000479,0.000480,0.000482,0.000477,0.000477,40
Emilia_923,923136,20964171,8.912703,8.936004,8.910919,8.911145,8.942512,8.930808,8.931855,8.910919,4
Fault_639,638802,14626683,6.122068,6.132456,6.130721,6.126535,6.135726,6.123618,6.121306,6.121306,40
G2_circuit,150102,438388,0.942824,0.946002,0.947528,0.944821,0.943659,0.946127,0.944892,0.942824,1
af_0_k101,503625,9027150,1.563076,1.554684,1.562472,1.556713,1.555171,1.561056,1.560217,1.554684,2
af_shell3,504855,9046865,1.589020,1.586241,1.587218,1.582766,1.585379,1.584812,1.590638,1.582766,8
apache1,80800,311492,0.619683,0.619797,0.619682,0.619775,0.619418,0.619328,0.620083,0.619328,32
apache2,715176,2766523,6.893370,6.886529,6.886847,6.896535,6.868945,6.890401,6.878575,6.868945,16
audikw_1,943695,39297771,13.749866,13.751295,13.736738,13.753617,13.754189,13.749996,13.744574,13.736738,4
bcsstk08,1074,7017,0.002626,0.002106,0.002112,0.002105,0.002105,0.002102,0.002101,0.002101,40
bcsstk09,1083,9760,0.001480,0.001480,0.001428,0.001422,0.001482,0.001435,0.001437,0.001422,8
bcsstk10,1086,11578,0.000708,0.000702,0.000709,0.000708,0.000715,0.000707,0.000727,0.000702,2
bcsstk11,1473,17857,0.001628,0.001347,0.001417,0.001397,0.001367,0.001360,0.001393,0.001347,2
bcsstk12,1473,17857,0.001889,0.001341,0.001346,0.001381,0.001346,0.001356,0.001355,0.001341,2
bcsstk13,2003,42943,0.004362,0.004358,0.004255,0.004353,0.004352,0.004253,0.004378,0.004253,32
bcsstk14,1806,32630,0.002959,0.002643,0.002614,0.002554,0.002560,0.002638,0.002558,0.002554,8
bcsstk15,3948,60882,0.007600,0.007145,0.007121,0.007042,0.007094,0.007175,0.007046,0.007042,8
bcsstk16,4884,147631,0.008505,0.007553,0.007564,0.007606,0.007455,0.007465,0.007540,0.007455,16
bcsstk17,10974,219812,0.014452,0.014204,0.014286,0.014265,0.014261,0.014224,0.014222,0.014204,2
bcsstk18,11948,80519,0.016047,0.016024,0.016010,0.016031,0.016021,0.016170,0.016030,0.016010,4
bmw3_2,227362,5757996,1.210611,1.209655,1.209975,1.215093,1.210444,1.211313,1.212996,1.209655,2
bmw7st_1,141347,3740507,0.628838,0.632858,0.631923,0.628206,0.626608,0.631806,0.629039,0.626608,16
bone010,986703,36326514,11.718643,11.705735,11.717712,11.726845,11.713357,11.715110,11.720591,11.705735,2
boneS01,127224,3421188,0.934094,0.935467,0.932671,0.932935,0.932845,0.934730,0.934578,0.932671,4
boneS10,914898,28191660,8.950297,8.982411,8.967448,8.973073,8.975119,8.970675,8.959718,8.950297,1
bundle1,10581,390741,0.015573,0.015063,0.015273,0.014517,0.014599,0.014463,0.014419,0.014419,40
consph,83334,3046907,0.746993,0.747605,0.745074,0.747129,0.746971,0.747764,0.747095,0.745074,4
crankseg_1,52804,5333507,0.674340,0.680101,0.681337,0.675999,0.675381,0.679757,0.683298,0.674340,1
