arch,library,host,group,matrix,n,nnz_upper,mtype,cores,rep,analyze_s,factor_s,factor_gflops,factor_nnz,fill_ratio,solve1_s,solve8_s,solve40_s,logdet,status
intel,cholmod-5,cn512-24-l,group10,m_t1.mtx,97578,4925574,2,1,1,0.548604,0.638959,28.83,32068908,6.5107,0,0,0,1712163.662069,ok
intel,cholmod-5,cn512-24-l,group10,m_t1.mtx,97578,4925574,2,2,1,0.540260,0.541803,34.00,32068908,6.5107,0,0,0,1712163.662069,ok
intel,cholmod-5,cn512-24-l,group10,m_t1.mtx,97578,4925574,2,4,1,0.540345,0.485913,37.91,32068908,6.5107,0,0,0,1712163.662069,ok
intel,cholmod-5,cn512-24-l,group10,m_t1.mtx,97578,4925574,2,8,1,0.538970,0.433822,42.46,32068908,6.5107,0,0,0,1712163.662069,ok
intel,cholmod-5,cn512-24-l,group10,m_t1.mtx,97578,4925574,2,16,1,0.539070,0.421105,43.74,32068908,6.5107,0,0,0,1712163.662069,ok
intel,cholmod-5,cn512-24-l,group10,m_t1.mtx,97578,4925574,2,32,1,0.540192,0.528793,34.83,32068908,6.5107,0,0,0,1712163.662069,ok
intel,cholmod-5,cn512-24-l,group10,m_t1.mtx,97578,4925574,2,40,1,0.539263,0.590805,31.18,32068908,6.5107,0,0,0,1712163.662069,ok
intel,cholmod-5,cn512-24-l,group10,smt.mtx,25710,1889447,2,1,1,0.282940,0.235750,31.01,11422141,6.0452,0,0,0,248159.737394,ok
intel,cholmod-5,cn512-24-l,group10,smt.mtx,25710,1889447,2,2,1,0.280252,0.192259,38.03,11422141,6.0452,0,0,0,248159.737394,ok
intel,cholmod-5,cn512-24-l,group10,smt.mtx,25710,1889447,2,4,1,0.280780,0.164225,44.52,11422141,6.0452,0,0,0,248159.737394,ok
intel,cholmod-5,cn512-24-l,group10,smt.mtx,25710,1889447,2,8,1,0.279571,0.153858,47.52,11422141,6.0452,0,0,0,248159.737394,ok
intel,cholmod-5,cn512-24-l,group10,smt.mtx,25710,1889447,2,16,1,0.279371,0.140417,52.07,11422141,6.0452,0,0,0,248159.737394,ok
intel,cholmod-5,cn512-24-l,group10,smt.mtx,25710,1889447,2,32,1,0.279984,0.180107,40.59,11422141,6.0452,0,0,0,248159.737394,ok
intel,cholmod-5,cn512-24-l,group10,smt.mtx,25710,1889447,2,40,1,0.279421,0.214672,34.06,11422141,6.0452,0,0,0,248159.737394,ok
intel,cholmod-5,cn512-24-l,group10,thread.mtx,29736,2249892,2,1,1,0.350940,0.828159,44.62,24514479,10.8958,0,0,0,874494.954662,ok
