matrix,n,nnz,c1,c2,c4,c8,c16,c32,c40,best,best@c
1138_bus,1138,2596,0.000785,0.001769,0.001689,0.001615,0.002911,0.002786,0.002846,0.000785,1
Emilia_923,923136,20964171,205.408055,113.847057,58.854759,31.645047,20.768342,15.748502,16.182921,15.748502,32
Fault_639,638802,14626683,124.328421,70.092521,36.237615,19.186208,12.976470,10.139237,10.180208,10.139237,32
G2_circuit,150102,438388,0.248605,0.198123,0.126416,0.077505,0.066255,0.085107,0.107515,0.066255,16
af_0_k101,503625,9027150,2.781713,1.936950,1.122186,0.665287,0.467493,0.564229,0.619432,0.467493,16
af_shell3,504855,9046865,2.535529,1.817360,1.066860,0.644160,0.432135,0.505193,0.609764,0.432135,16
apache1,80800,311492,0.314003,0.219769,0.130097,0.081264,0.083442,0.149116,0.164986,0.081264,8
apache2,715176,2766523,5.549702,3.472161,1.946777,1.097181,0.801468,0.813312,0.898709,0.801468,16
audikw_1,943695,39297771,104.975630,59.831976,31.359453,16.545466,11.323146,9.183240,9.472878,9.183240,32
bcsstk08,1074,7017,0.001647,0.002510,0.002840,0.002575,0.003649,0.004477,0.005906,0.001647,1
bcsstk09,1083,9760,0.001851,0.002648,0.002809,0.003601,0.003921,0.005456,0.005793,0.001851,1
bcsstk10,1086,11578,0.001185,0.002093,0.002922,0.003224,0.002187,0.002685,0.003726,0.001185,1
bcsstk11,1473,17857,0.002035,0.002842,0.002561,0.003754,0.004109,0.004629,0.004930,0.002035,1
bcsstk12,1473,17857,0.002021,0.002920,0.003632,0.003766,0.005078,0.004632,0.005649,0.002021,1
bcsstk13,2003,42943,0.006753,0.006861,0.006900,0.007335,0.007965,0.009437,0.014211,0.006753,1
bcsstk14,1806,32630,0.003422,0.004377,0.004621,0.003904,0.005666,0.007235,0.009174,0.003422,1
bcsstk15,3948,60882,0.014633,0.012830,0.009616,0.014704,0.022929,0.035008,0.055717,0.009616,4
bcsstk16,4884,147631,0.017576,0.018369,0.017115,0.016974,0.021409,0.027055,0.031595,0.016974,8
bcsstk17,10974,219812,0.026884,0.027689,0.023536,0.014523,0.019362,0.035539,0.053732,0.014523,8
bcsstk18,11948,80519,0.019652,0.019838,0.012536,0.011029,0.010331,0.019245,0.023168,0.010331,16
bmw3_2,227362,5757996,1.242851,0.898744,0.535849,0.324422,0.231887,0.295461,0.318471,0.231887,16
bmw7st_1,141347,3740507,0.668043,0.506481,0.311746,0.184699,0.126342,0.177040,0.208673,0.126342,16
bone010,986703,36326514,76.425106,44.135247,23.265664,12.924581,8.459092,7.029127,7.049441,7.029127,32
boneS01,127224,3421188,1.287981,0.830545,0.480698,0.294996,0.227278,0.298110,0.356806,0.227278,16
boneS10,914898,28191660,9.107957,6.041441,3.456005,2.019062,1.359821,1.307392,1.273276,1.273276,40
bundle1,10581,390741,0.037567,0.041085,0.035973,0.028711,0.033063,0.050908,0.058446,0.028711,8
consph,83334,3046907,3.223873,1.961467,1.094979,0.669568,0.511952,0.585454,0.692435,0.511952,16
crankseg_1,52804,5333507,1.090265,0.738528,0.446287,0.285410,0.246689,0.307043,0.341359,0.246689,16
crankseg_2,63838,7106348,1.547285,1.015132,0.612710,0.377437,0.294914,0.411635,0.418549,0.294914,16
ct20stif,52329,1375396,0.273430,0.192125,0.119201,0.078590,0.073380,0.123634,0.144354,0.073380,16
ecology2,999999,2997995,1.496014,1.173967,0.734966,0.450990,0.326296,0.379084,0.424259,0.326296,16
gyro_k,17361,519260,0.041529,0.037944,0.033995,0.028289,0.024844,0.055171,0.061892,0.024844,16
gyro_m,17361,178896,0.022359,0.023009,0.017324,0.013189,0.014641,0.021555,0.029416,0.013189,8
hood,220542,5494489,0.773595,0.627801,0.416040,0.237610,0.168055,0.223685,0.251122,0.168055,16
inla_graph_83o4NNNo,25853,778924,0.159852,0.130424,0.082373,0.061344,0.052867,0.105883,0.167287,0.052867,16
inla_graph_8rtKSK,7860,32965,0.007332,0.007237,0.006132,0.005757,0.006894,0.008778,0.009337,0.005757,8
inla_graph_animal1,5126,2644501,0.513709,0.319597,0.203682,0.159997,0.132536,0.143116,0.152178,0.132536,16
inla_graph_animal2,50126,251427001,297.568024,165.404388,95.564316,58.610210,42.647183,36.119908,35.653863,35.653863,40
inla_graph_ayaLRw,69224,168584,0.054931,0.052087,0.042434,0.034882,0.026735,0.029893,0.028638,0.026735,16
inla_graph_bern_spd,96344,2181456,0.276874,0.235671,0.186010,0.148228,0.125522,0.142749,0.129582,0.125522,16
inla_graph_diff,21529,200017,0.036330,0.036829,0.023913,0.018812,0.018137,0.028020,0.030853,0.018137,16
inla_graph_ferris,42961,650694,0.126235,0.107947,0.073797,0.049053,0.036101,0.055400,0.063359,0.036101,16
inla_graph_lgm_10010_bw2,10010,327351,0.093982,0.077074,0.047783,0.036437,0.046994,0.046379,0.051761,0.036437,8
inla_graph_lgm_100200_bw1,100200,30054727,15.499928,9.065297,4.951428,2.941392,2.650389,2.411013,1.981861,1.981861,40
inla_graph_lgm_100200_bw2,100200,32026662,41.429062,23.263176,12.318003,6.795652,5.974838,4.580196,4.740452,4.580196,32
inla_graph_lgm_48600_bw2,48600,35663339,28.077449,15.904620,8.636568,5.906734,4.689962,4.379416,4.336492,4.336492,40
inla_graph_lgm_50000_bw15000,50000,7286160,21.568705,12.343694,6.531878,3.709862,2.592812,2.623700,2.593323,2.592812,16
inla_graph_lgm_50400_bw2,50400,23854872,151.576295,82.560759,54.358547,41.273411,36.041858,33.675451,33.525183,33.525183,40
inla_graph_lidense,12509,17292917,1.510904,0.925639,0.594259,0.435235,0.377372,0.383587,0.386182,0.377372,16
inla_graph_net1628760,1628760,14802802,8.212814,5.887340,3.681785,2.230637,1.296365,1.085600,0.985088,0.985088,40
inla_graph_net814381,81438,189532,0.064059,0.061622,0.048525,0.040387,0.031644,0.032435,0.031976,0.031644,16
inla_graph_pedigree,92699,277983,0.350000,0.281240,0.159676,0.104175,0.081570,0.131557,0.146395,0.081570,16
inla_graph_sem_n100000,600006,2700006,0.622437,0.551052,0.431137,0.356449,0.276066,0.283792,0.281541,0.276066,16
inla_graph_sem_n2000,12006,54006,0.011307,0.012092,0.010271,0.009213,0.007319,0.006852,0.006856,0.006852,32
inla_graph_sem_n20000,120006,540006,0.102815,0.106387,0.085054,0.068527,0.055497,0.057364,0.053843,0.053843,40
inla_graph_sem_n5000,30006,135006,0.029593,0.028044,0.023561,0.019031,0.015424,0.014774,0.015288,0.014774,32
inla_graph_sh7Pgi,15815,55395,0.014814,0.015477,0.011885,0.008642,0.009543,0.017785,0.020724,0.008642,8
inla_graph_spacetime,24931,644273,0.569632,0.381094,0.215816,0.142686,0.133423,0.227283,0.279558,0.133423,16
inla_graph_stcov,24300,7388370,2.041134,2.555151,1.733345,1.417179,0.964835,0.871484,0.826786,0.826786,40
inla_graph_yU0G1u,1517823,9238726,2.245687,1.940103,1.405880,1.047956,0.738523,0.711605,0.747385,0.711605,32
inline_1,503712,18660027,5.348636,3.606002,2.119397,1.275016,0.825908,0.879895,0.988900,0.825908,16
ldoor,952203,23737339,4.295240,3.164219,1.901707,1.146826,0.728638,0.757552,0.849233,0.728638,16
m_t1,97578,4925574,0.865103,0.630031,0.386094,0.233392,0.191562,0.242534,0.320623,0.191562,16
msc10848,10848,620313,0.053567,0.045171,0.029140,0.022027,0.031092,0.050014,0.071613,0.022027,8
msc23052,23052,588933,0.072633,0.063400,0.046218,0.034176,0.031662,0.047029,0.055410,0.031662,16
nasa2910,2910,88603,0.006165,0.007706,0.005386,0.005681,0.006422,0.010080,0.010697,0.005386,4
nasa4704,4704,54730,0.007866,0.007887,0.005824,0.005963,0.011088,0.018873,0.022375,0.005824,4
