matrix,n,nnz,c1,c2,c4,c8,c16,c32,c40,min,min@c
1138_bus,1138,2596,0.000628,0.000628,0.000629,0.000631,0.000680,0.000663,0.000680,0.000628,1
Emilia_923,923136,20964171,7.189232,7.205701,7.209649,7.218308,7.215152,7.195791,7.192886,7.189232,1
Fault_639,638802,14626683,4.963191,4.971270,4.969575,4.975771,4.963509,4.974357,4.964046,4.963191,1
G2_circuit,150102,438388,0.870710,0.871248,0.871500,0.871702,0.871968,0.871478,0.870154,0.870154,40
af_0_k101,503625,9027150,1.214299,1.217082,1.217639,1.214685,1.216113,1.218828,1.217245,1.214299,1
af_shell3,504855,9046865,1.216402,1.219507,1.218906,1.216887,1.218711,1.219783,1.217974,1.216402,1
apache1,80800,311492,0.568408,0.569174,0.568757,0.569202,0.568486,0.569027,0.569078,0.568408,1
apache2,715176,2766523,6.134549,6.135894,6.133096,6.136555,6.130229,6.135723,6.133577,6.130229,16
audikw_1,943695,39297771,10.800560,10.791097,10.807036,10.774912,10.800849,10.791968,10.797465,10.774912,8
bcsstk08,1074,7017,0.002666,0.002685,0.002676,0.002710,0.002707,0.002770,0.002747,0.002666,1
bcsstk09,1083,9760,0.001484,0.001489,0.001504,0.001518,0.001526,0.001559,0.001534,0.001484,1
bcsstk10,1086,11578,0.000695,0.000678,0.000692,0.000710,0.000709,0.000725,0.000728,0.000678,2
bcsstk11,1473,17857,0.001058,0.001055,0.001073,0.001104,0.001147,0.001163,0.001190,0.001055,2
bcsstk12,1473,17857,0.001095,0.001055,0.001062,0.001091,0.001142,0.001171,0.001170,0.001055,2
bcsstk13,2003,42943,0.003697,0.003601,0.003608,0.003659,0.003721,0.003699,0.003702,0.003601,2
bcsstk14,1806,32630,0.002668,0.001957,0.001961,0.002010,0.002118,0.002158,0.002179,0.001957,2
bcsstk15,3948,60882,0.007119,0.006513,0.006550,0.006575,0.006712,0.006928,0.006998,0.006513,2
bcsstk16,4884,147631,0.005575,0.005373,0.005564,0.005519,0.005672,0.005832,0.005855,0.005373,2
bcsstk17,10974,219812,0.049121,0.048855,0.049126,0.049218,0.049423,0.050687,0.051755,0.048855,2
bcsstk18,11948,80519,0.082200,0.082162,0.081946,0.082030,0.082479,0.083847,0.084695,0.081946,4
bmw3_2,227362,5757996,0.959532,0.961427,0.961059,0.960618,0.960078,0.959307,0.959746,0.959307,32
bmw7st_1,141347,3740507,0.469200,0.467919,0.471617,0.469839,0.472611,0.474115,0.472465,0.467919,2
bone010,986703,36326514,8.665412,8.662735,8.666790,8.670243,8.666062,8.669660,8.666426,8.662735,2
boneS01,127224,3421188,0.765324,0.765714,0.764763,0.764721,0.765559,0.767067,0.765868,0.764721,8
boneS10,914898,28191660,6.834848,6.853075,6.849804,6.839424,6.838003,6.864072,6.852484,6.834848,1
bundle1,10581,390741,0.032710,0.032201,0.032005,0.032840,0.032737,0.033873,0.034175,0.032005,4
consph,83334,3046907,0.564981,0.565970,0.566163,0.570317,0.569661,0.574114,0.581558,0.564981,1
crankseg_1,52804,5333507,0.456209,0.457509,0.457798,0.456746,0.456387,0.457055,0.457680,0.456209,1
crankseg_2,63838,7106348,0.564038,0.564470,0.563252,0.564226,0.564200,0.564034,0.564845,0.563252,4
ct20stif,52329,1375396,0.299502,0.300543,0.300556,0.300294,0.300445,0.300956,0.301426,0.299502,1
ecology2,999999,2997995,5.440198,5.474160,5.447797,5.445353,5.446246,5.445811,5.451162,5.440198,1
gyro_k,17361,519260,0.070608,0.070531,0.070190,0.070499,0.070027,0.070784,0.070782,0.070027,16
gyro_m,17361,178896,0.130071,0.129351,0.130020,0.129702,0.129507,0.129694,0.130017,0.129351,2
hood,220542,5494489,0.524885,0.526206,0.524267,0.523919,0.524260,0.523620,0.525269,0.523620,32
inla_graph_83o4NNNo,25853,778924,0.399640,0.399043,0.399540,0.399197,0.397449,0.397967,0.398566,0.397449,16
inla_graph_8rtKSK,7860,32965,0.005794,0.005973,0.006010,0.006028,0.006541,0.007484,0.008064,0.005794,1
inla_graph_animal1,5126,2644501,0.080223,0.080886,0.080709,0.081641,0.080875,0.080818,0.081034,0.080223,1
inla_graph_animal2,50126,251427001,27.313578,27.289906,27.281902,27.288812,27.278402,27.273021,27.304675,27.273021,32
inla_graph_ayaLRw,69224,168584,0.319020,0.333429,0.329442,0.324795,0.320530,0.319138,0.318908,0.318908,40
inla_graph_bern_spd,96344,2181456,0.610442,0.605308,0.602685,0.607734,0.609335,0.627794,0.638343,0.602685,4
inla_graph_diff,21529,200017,0.149212,0.148534,0.148757,0.148807,0.148984,0.149223,0.149672,0.148534,2
inla_graph_ferris,42961,650694,0.451727,0.452495,0.451353,0.451680,0.451332,0.451513,0.452303,0.451332,16
inla_graph_lgm_10010_bw2,10010,327351,0.162819,0.162985,0.163529,0.162797,0.162762,0.162685,0.163275,0.162685,32
inla_graph_lgm_100200_bw1,100200,30054727,6.766562,6.767602,6.765722,6.765250,6.767833,6.765843,6.770136,6.765250,8
inla_graph_lgm_100200_bw2,100200,32026662,6.741361,6.749103,6.747576,6.744722,6.745712,6.750396,6.744768,6.741361,1
inla_graph_lgm_48600_bw2,48600,35663339,4.348181,4.341123,4.347299,4.345709,4.345694,4.345923,4.345482,4.341123,2
inla_graph_lgm_50000_bw15000,50000,7286160,2.136968,2.138935,2.140128,2.138018,2.139699,2.138204,2.140780,2.136968,1
