arch,library,host,group,matrix,n,nnz_upper,mtype,cores,rep,analyze_s,factor_s,factor_gflops,factor_nnz,fill_ratio,solve1_s,solve8_s,solve40_s,logdet,status
intel,mumps-5,cn512-16-l,group10,m_t1.mtx,97578,4925574,2,1,1,0.390924,0.865103,22.30,36308969,7.3715,0,0,0,1712163.662070,ok-ord5
intel,mumps-5,cn512-16-l,group10,m_t1.mtx,97578,4925574,2,2,1,0.381089,0.630031,30.63,36308969,7.3715,0,0,0,1712163.662070,ok-ord5
intel,mumps-5,cn512-16-l,group10,m_t1.mtx,97578,4925574,2,4,1,0.381329,0.386094,49.98,36308969,7.3715,0,0,0,1712163.662070,ok-ord5
intel,mumps-5,cn512-16-l,group10,m_t1.mtx,97578,4925574,2,8,1,0.379814,0.233392,82.67,36308969,7.3715,0,0,0,1712163.662070,ok-ord5
intel,mumps-5,cn512-16-l,group10,m_t1.mtx,97578,4925574,2,16,1,0.379652,0.191562,100.73,36308969,7.3715,0,0,0,1712163.662070,ok-ord5
intel,mumps-5,cn512-16-l,group10,m_t1.mtx,97578,4925574,2,32,1,0.382933,0.242534,79.56,36308969,7.3715,0,0,0,1712163.662070,ok-ord5
intel,mumps-5,cn512-16-l,group10,m_t1.mtx,97578,4925574,2,40,1,0.381024,0.320623,60.18,36308969,7.3715,0,0,0,1712163.662070,ok-ord5
intel,mumps-5,cn512-16-l,group10,smt.mtx,25710,1889447,2,1,1,0.215970,0.360291,23.97,13440055,7.1132,0,0,0,248159.737394,ok-ord5
intel,mumps-5,cn512-16-l,group10,smt.mtx,25710,1889447,2,2,1,0.214611,0.251896,34.29,13440055,7.1132,0,0,0,248159.737394,ok-ord5
intel,mumps-5,cn512-16-l,group10,smt.mtx,25710,1889447,2,4,1,0.209591,0.143848,60.04,13440055,7.1132,0,0,0,248159.737394,ok-ord5
intel,mumps-5,cn512-16-l,group10,smt.mtx,25710,1889447,2,8,1,0.209933,0.100497,85.94,13440055,7.1132,0,0,0,248159.737394,ok-ord5
intel,mumps-5,cn512-16-l,group10,smt.mtx,25710,1889447,2,16,1,0.210581,0.092226,93.65,13440055,7.1132,0,0,0,248159.737394,ok-ord5
intel,mumps-5,cn512-16-l,group10,smt.mtx,25710,1889447,2,32,1,0.211593,0.158707,54.42,13440055,7.1132,0,0,0,248159.737394,ok-ord5
intel,mumps-5,cn512-16-l,group10,smt.mtx,25710,1889447,2,40,1,0.209885,0.256025,33.73,13440055,7.1132,0,0,0,248159.737394,ok-ord5
intel,mumps-5,cn512-16-l,group10,thread.mtx,29736,2249892,2,1,1,0.255180,1.003410,38.28,27245699,12.1098,0,0,0,874494.954662,ok-ord5
intel,mumps-5,cn512-16-l,group10,thread.mtx,29736,2249892,2,2,1,0.256232,0.631401,60.84,27245699,12.1098,0,0,0,874494.954662,ok-ord5
intel,mumps-5,cn512-16-l,group10,thread.mtx,29736,2249892,2,4,1,0.255069,0.371548,103.38,27245699,12.1098,0,0,0,874494.954662,ok-ord5
intel,mumps-5,cn512-16-l,group10,thread.mtx,29736,2249892,2,8,1,0.257199,0.230262,166.82,27245699,12.1098,0,0,0,874494.954662,ok-ord5
intel,mumps-5,cn512-16-l,group10,thread.mtx,29736,2249892,2,16,1,0.253774,0.191742,200.33,27245699,12.1098,0,0,0,874494.954662,ok-ord5
intel,mumps-5,cn512-16-l,group10,thread.mtx,29736,2249892,2,32,1,0.255413,0.302058,127.17,27245699,12.1098,0,0,0,874494.954662,ok-ord5
intel,mumps-5,cn512-16-l,group10,thread.mtx,29736,2249892,2,40,1,0.257365,0.354965,108.21,27245699,12.1098,0,0,0,874494.954662,ok-ord5
intel,mumps-5,cn512-16-l,group11,inla_graph_lgm_10010_bw2.mtx,10010,327351,2,1,1,0.162819,0.093982,21.54,4631186,14.1475,0,0,0,92195.498200,ok-ord5
intel,mumps-5,cn512-16-l,group11,inla_graph_lgm_10010_bw2.mtx,10010,327351,2,2,1,0.162985,0.077074,26.27,4631186,14.1475,0,0,0,92195.498200,ok-ord5
intel,mumps-5,cn512-16-l,group11,inla_graph_lgm_10010_bw2.mtx,10010,327351,2,4,1,0.163529,0.047783,42.37,4631186,14.1475,0,0,0,92195.498200,ok-ord5
intel,mumps-5,cn512-16-l,group11,inla_graph_lgm_10010_bw2.mtx,10010,327351,2,8,1,0.162797,0.036437,55.57,4631186,14.1475,0,0,0,92195.498200,ok-ord5
intel,mumps-5,cn512-16-l,group11,inla_graph_lgm_10010_bw2.mtx,10010,327351,2,16,1,0.162762,0.046994,43.09,4631186,14.1475,0,0,0,92195.498200,ok-ord5
intel,mumps-5,cn512-16-l,group11,inla_graph_lgm_10010_bw2.mtx,10010,327351,2,32,1,0.162685,0.046379,43.66,4631186,14.1475,0,0,0,92195.498200,ok-ord5
intel,mumps-5,cn512-16-l,group11,inla_graph_lgm_10010_bw2.mtx,10010,327351,2,40,1,0.163275,0.051761,39.12,4631186,14.1475,0,0,0,92195.498200,ok-ord5
intel,mumps-5,cn512-16-l,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,1,1,6.766562,15.499928,49.68,278682000,9.2725,0,0,0,922875.998029,ok-ord5
intel,mumps-5,cn512-16-l,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,2,1,6.767602,9.065297,84.94,278682000,9.2725,0,0,0,922875.998029,ok-ord5
intel,mumps-5,cn512-16-l,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,4,1,6.765722,4.951428,155.51,278682000,9.2725,0,0,0,922875.998029,ok-ord5
