matrix,n,nnz,source,sTiles,PARDISO,MUMPS,CHOLMOD,PaStiX,symPACK
inla_graph_83o4NNNo,25853,1531995,INLA,0.031346,0.008799,0.055489,0.119964,0.095707,0.023198
inla_graph_8rtKSK,7860,58070,INLA,0.002353,0.001031,0.006534,0.000851,0.077551,2.996380
inla_graph_animal1,5126,5283876,INLA,0.021188,0.177548,0.147849,0.110048,0.391130,0.613168
inla_graph_animal2,50126,502803876,INLA,16.139962,173.476326,38.795957,25.046116,72.080730,432.179000
inla_graph_ayaLRw,69224,267944,INLA,0.004516,0.006117,0.026051,0.014063,0.029206,0.228461
inla_graph_bern_spd,96344,4266568,INLA,0.017166,0.041811,0.124677,0.510643,0.305727,0.775435
inla_graph_diff,21529,378505,INLA,0.003663,0.005079,0.019682,0.047683,0.029245,0.034142
inla_graph_ferris,42961,1258427,INLA,0.020511,0.013540,0.041388,0.142611,0.115973,0.086810
inla_graph_lgm_10010_bw2,10010,644692,INLA,0.016884,0.012206,0.037055,0.043722,0.048004,0.022682
inla_graph_lgm_100200_bw1,100200,60009254,INLA,1.046830,2.303201,2.338609,2.222237,4.653521,1.851880
inla_graph_lgm_100200_bw2,100200,63953124,INLA,2.247365,7.274096,5.289243,3.537490,6.730831,8.336300
inla_graph_lgm_48600_bw2,48600,71278078,INLA,0.717674,8.839229,4.958803,2.361488,8.103949,9.451200
inla_graph_lgm_50000_bw15000,50000,14522320,INLA,1.388686,5.632538,2.674512,5.298726,2.810645,28.938600
inla_graph_lgm_50400_bw2,50400,47659344,INLA,12.136846,40.824401,35.690997,7.161067,14.944638,76.698100
inla_graph_lidense,12509,34573325,INLA,0.053977,0.105702,0.379928,0.496378,1.549301,1.145150
inla_graph_net1628760,1628760,27976844,INLA,0.387177,0.233674,0.976799,3.696230,3.518446,0.819196
inla_graph_net814381,81438,297626,INLA,0.003858,0.006411,0.032010,0.013233,0.031371,1.206330
inla_graph_pedigree,92699,463267,INLA,0.002932,0.007062,0.079365,0.005568,0.040851,
inla_graph_sem_n100000,600006,4800006,INLA,0.014368,0.074694,0.276106,0.162355,0.352709,0.400441
inla_graph_sem_n2000,12006,96006,INLA,0.000442,0.001467,0.007046,0.001509,0.005380,0.009510
inla_graph_sem_n20000,120006,960006,INLA,0.003253,0.013455,0.053864,0.020697,0.063034,0.079920
inla_graph_sem_n5000,30006,240006,INLA,0.000916,0.003295,0.015712,0.004130,0.014802,0.019899
inla_graph_sh7Pgi,15815,94975,INLA,0.003392,0.001882,0.008057,0.003795,0.009338,23.041000
inla_graph_spacetime,24931,1263615,INLA,0.047035,0.089543,0.134536,0.187648,0.142823,0.208042
inla_graph_stcov,24300,14752440,INLA,0.038860,0.114678,0.824227,1.030094,0.999744,1.387120
inla_graph_yU0G1u,1517823,16959629,INLA,0.297881,0.299537,0.643376,1.554866,310.613026,
1138_bus,1138,4054,SuiteSparse,0.000414,0.000163,0.000769,0.000107,0.000520,0.019625
