matrix,n,nnz,c1,c2,c4,c8,c16,c32,c40,best,best@c
1138_bus,1138,2596,0.000634,0.000419,0.000314,0.000222,0.000160,0.000148,0.000155,0.000148,32
Emilia_923,923136,20964171,381.678179,218.262379,121.251001,65.983162,37.711289,25.761762,24.762666,24.762666,40
Fault_639,638802,14626683,243.263230,141.983933,81.680806,43.602923,25.422927,17.097906,17.228250,17.097906,32
G2_circuit,150102,438388,0.150489,0.105811,0.060000,0.045288,0.028106,0.021252,0.018514,0.018514,40
af_0_k101,503625,9027150,1.599220,1.005323,0.621283,0.345872,0.213149,0.148747,0.141239,0.141239,40
af_shell3,504855,9046865,1.520153,0.968691,0.556911,0.360542,0.213169,0.153358,0.147028,0.147028,40
apache1,80800,311492,0.280018,0.158575,0.091491,0.055338,0.033878,0.023742,0.022709,0.022709,40
apache2,715176,2766523,6.647675,3.920769,2.291005,1.267994,0.718788,0.456723,0.452073,0.452073,40
audikw_1,943695,39297771,170.488603,101.481142,56.782920,31.790604,18.361304,12.496828,12.223316,12.223316,40
bcsstk08,1074,7017,0.001334,0.000881,0.000652,0.000457,0.000400,0.000385,0.000379,0.000379,40
bcsstk09,1083,9760,0.001152,0.000701,0.000509,0.000354,0.000302,0.000292,0.000302,0.000292,32
bcsstk10,1086,11578,0.000648,0.000388,0.000296,0.000215,0.000168,0.000173,0.000171,0.000168,16
bcsstk11,1473,17857,0.001183,0.000771,0.000575,0.000422,0.000345,0.000327,0.000352,0.000327,32
bcsstk12,1473,17857,0.001190,0.000776,0.000571,0.000419,0.000349,0.000324,0.000338,0.000324,32
bcsstk13,2003,42943,0.005783,0.003263,0.002745,0.001918,0.001667,0.001538,0.001550,0.001538,32
bcsstk14,1806,32630,0.002206,0.001282,0.001036,0.000598,0.000574,0.000506,0.000537,0.000506,32
bcsstk15,3948,60882,0.010492,0.006020,0.003923,0.002470,0.001846,0.001485,0.001541,0.001485,32
bcsstk16,4884,147631,0.011738,0.006627,0.004721,0.002683,0.002277,0.001706,0.001577,0.001577,40
bcsstk17,10974,219812,0.018318,0.011097,0.008310,0.004205,0.003035,0.002477,0.002406,0.002406,40
bcsstk18,11948,80519,0.017061,0.009744,0.006676,0.004219,0.002978,0.002314,0.002285,0.002285,40
bmw3_2,227362,5757996,1.229328,0.724219,0.415330,0.233223,0.128846,0.080047,0.073640,0.073640,40
bmw7st_1,141347,3740507,0.557237,0.343319,0.181573,0.099724,0.060218,0.037000,0.033613,0.033613,40
bone010,986703,36326514,91.593571,54.367589,31.635678,18.362672,11.124768,7.902852,7.875971,7.875971,40
boneS01,127224,3421188,1.006507,0.624665,0.384467,0.225640,0.122108,0.086723,0.081698,0.081698,40
