matrix,n,nnz,c1,c2,c4,c8,c16,c32,c40,min,min@c
1138_bus,1138,2596,0.004389,0.004494,0.004702,0.005002,0.005975,0.007500,0.008528,0.004389,1
Emilia_923,923136,20964171,11.031688,9.124130,8.213199,8.677192,8.131631,8.041316,8.087205,8.041316,32
Fault_639,638802,14626683,7.721453,6.429310,5.833391,5.861647,5.606035,5.572959,5.583420,5.572959,32
G2_circuit,150102,438388,0.483696,0.482043,0.480343,0.494896,0.505139,0.530331,0.540602,0.480343,4
af_0_k101,503625,9027150,1.495397,1.364673,1.322856,1.340990,1.373940,1.351002,1.373176,1.322856,4
af_shell3,504855,9046865,1.540412,1.413761,1.379422,1.404755,1.429368,1.412210,1.421641,1.379422,4
apache1,80800,311492,0.393871,0.386639,0.379171,0.380718,0.384923,0.393731,0.398241,0.379171,4
apache2,715176,2766523,3.969018,3.826068,3.750930,3.732942,3.759013,3.807155,3.831431,3.732942,8
audikw_1,943695,39297771,15.699135,14.193662,13.475698,13.505931,13.206118,13.401038,13.452369,13.206118,16
bcsstk08,1074,7017,0.007704,0.007695,0.007944,0.008462,0.008861,0.010468,0.011577,0.007695,2
bcsstk09,1083,9760,0.007739,0.007669,0.007846,0.008194,0.009215,0.010936,0.012030,0.007669,2
bcsstk10,1086,11578,0.004010,0.004001,0.004161,0.004771,0.005325,0.007129,0.007867,0.004001,2
bcsstk11,1473,17857,0.006277,0.006241,0.006499,0.006604,0.007205,0.009426,0.010276,0.006241,2
bcsstk12,1473,17857,0.006276,0.006249,0.006471,0.006743,0.007267,0.009490,0.010213,0.006249,2
bcsstk13,2003,42943,0.019390,0.019220,0.019401,0.019757,0.020540,0.022081,0.023555,0.019220,2
bcsstk14,1806,32630,0.013323,0.013063,0.013331,0.013629,0.014773,0.016405,0.017046,0.013063,2
bcsstk15,3948,60882,0.036409,0.035880,0.036162,0.036544,0.036918,0.039705,0.040503,0.035880,2
bcsstk16,4884,147631,0.029477,0.028415,0.028611,0.028986,0.030156,0.032095,0.032398,0.028415,2
bcsstk17,10974,219812,0.065794,0.063569,0.063843,0.064268,0.067339,0.068144,0.069424,0.063569,2
bcsstk18,11948,80519,0.073463,0.072951,0.073777,0.073240,0.074796,0.076851,0.078420,0.072951,2
bmw3_2,227362,5757996,1.384930,1.302958,1.281993,1.277232,1.296120,1.284790,1.291345,1.277232,8
bmw7st_1,141347,3740507,0.839174,0.793623,0.784150,0.782590,0.791022,0.787363,0.761631,0.761631,40
bone010,986703,36326514,11.329425,10.120014,9.403894,9.395069,9.037296,9.218928,9.233067,9.037296,16
boneS01,127224,3421188,0.885728,0.838972,0.833860,0.841353,0.841830,0.851084,0.868420,0.833860,4
boneS10,914898,28191660,8.109153,7.865778,7.580137,7.546147,7.504691,7.503024,7.589238,7.503024,32
bundle1,10581,390741,0.102633,0.101989,0.104075,0.105476,0.106750,0.110424,0.111204,0.101989,2
consph,83334,3046907,0.820144,0.735521,0.702729,0.689371,0.689005,0.705030,0.688768,0.688768,40
crankseg_1,52804,5333507,0.928367,0.872647,0.854654,0.848876,0.849540,0.858482,0.859663,0.848876,8
crankseg_2,63838,7106348,1.183810,1.107059,1.088433,1.070263,1.068286,1.088632,1.102433,1.068286,16
ct20stif,52329,1375396,0.388995,0.372223,0.369443,0.368714,0.372627,0.369836,0.372648,0.368714,8
ecology2,999999,2997995,2.957076,2.936468,2.928228,2.941281,2.975468,3.054113,3.078673,2.928228,4
gyro_k,17361,519260,0.105899,0.101598,0.102836,0.103134,0.105925,0.105372,0.108231,0.101598,2
