arch,library,host,group,matrix,n,nnz_upper,mtype,cores,rep,analyze_s,factor_s,factor_gflops,factor_nnz,fill_ratio,solve1_s,solve8_s,solve40_s,logdet,status
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,1,1,0.195200,0.001336,1.497,41416,5.902,0.000072,0.000912,0.002199,14650.23003,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,1,2,0.009454,0.001334,1.499,41416,5.902,0.000071,0.000925,0.002216,14650.23003,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,1,3,0.007704,0.001348,1.484,41416,5.902,0.000071,0.000913,0.002195,14650.23003,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,2,1,0.007723,0.000894,2.237,39896,5.686,0.000070,0.000817,0.001435,14650.23003,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,2,2,0.008364,0.000892,2.242,39896,5.686,0.000070,0.000878,0.001423,14650.23003,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,2,3,0.007695,0.000881,2.270,39896,5.686,0.000070,0.000865,0.001426,14650.23003,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,4,1,0.008009,0.000677,2.954,39806,5.673,0.000070,0.000668,0.001265,14650.23003,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,4,2,0.007944,0.000661,3.025,39806,5.673,0.000069,0.000613,0.001263,14650.23003,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,4,3,0.008180,0.000652,3.067,39806,5.673,0.000070,0.000629,0.001218,14650.23003,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,8,1,0.008581,0.000469,4.265,39176,5.583,0.000069,0.001035,0.001277,14650.23003,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,8,2,0.009330,0.000472,4.237,39176,5.583,0.000068,0.000980,0.001186,14650.23003,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,8,3,0.008462,0.000457,4.376,39176,5.583,0.000069,0.001024,0.001273,14650.23003,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,16,1,0.009054,0.000404,4.952,39176,5.583,0.000069,0.000857,0.001365,14650.23003,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,16,2,0.008861,0.000407,4.914,39176,5.583,0.000069,0.000852,0.001388,14650.23003,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,16,3,0.009048,0.000400,4.999,39176,5.583,0.000069,0.000856,0.001142,14650.23003,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,32,1,0.010468,0.000401,4.987,39176,5.583,0.000070,0.001066,0.001850,14650.23003,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,32,2,0.011132,0.000400,5.002,39176,5.583,0.000068,0.001016,0.001944,14650.23003,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,32,3,0.010958,0.000385,5.194,39176,5.583,0.000069,0.000953,0.001856,14650.23003,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,40,1,0.011801,0.000440,4.544,39176,5.583,0.000069,0.000936,0.002073,14650.23003,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,40,2,0.012006,0.000397,5.038,39176,5.583,0.000068,0.000934,0.001965,14650.23003,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk08.mtx,1074,7017,2,40,3,0.011577,0.000379,5.279,39176,5.583,0.000069,0.001007,0.002060,14650.23003,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk09.mtx,1083,9760,2,1,1,0.007974,0.001157,2.593,55568,5.693,0.000078,0.000665,0.001847,17170.25239,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk09.mtx,1083,9760,2,1,2,0.007812,0.001152,2.604,55568,5.693,0.000079,0.000668,0.001862,17170.25239,ok
