matrix,n,nnz,c1,c2,c4,c8,c16,c32,c40,best,best@c
1138_bus,1138,2596,0.000538,0.000757,0.000725,0.000520,0.000819,0.001364,0.002014,0.000520,8
Emilia_923,923136,20964171,237.965458,130.945138,70.602404,42.040447,30.522559,20.490750,19.794827,19.794827,40
Fault_639,638802,14626683,135.259612,69.942089,38.426958,23.084446,16.986467,11.321546,10.855522,10.855522,40
G2_circuit,150102,438388,0.224542,0.135987,0.096934,0.080175,0.108803,0.188522,0.216766,0.080175,8
af_0_k101,503625,9027150,2.716688,1.854081,1.486724,1.207910,1.227465,1.361299,1.367197,1.207910,8
af_shell3,504855,9046865,2.653554,1.843605,1.391562,1.203714,1.185740,1.316396,1.399749,1.185740,16
apache1,80800,311492,0.254690,0.176501,0.117191,0.086297,0.079476,0.128375,0.152892,0.079476,16
apache2,715176,2766523,4.920430,2.936790,1.577246,1.025865,0.937358,1.102857,1.463152,0.937358,16
audikw_1,943695,39297771,94.779793,53.971548,29.502883,18.693612,14.420733,10.660756,10.534691,10.534691,40
bcsstk08,1074,7017,0.001422,0.001429,0.001202,0.001124,0.001427,0.002660,0.003748,0.001124,8
bcsstk09,1083,9760,0.001398,0.001832,0.001227,0.001198,0.001506,0.003322,0.002996,0.001198,8
bcsstk10,1086,11578,0.001684,0.001873,0.001506,0.001611,0.002075,0.002727,0.003513,0.001506,4
bcsstk11,1473,17857,0.002643,0.002839,0.002588,0.002495,0.003016,0.004264,0.006816,0.002495,8
bcsstk12,1473,17857,0.002625,0.002839,0.002817,0.002338,0.003009,0.004659,0.007480,0.002338,8
bcsstk13,2003,42943,0.006949,0.008154,0.006401,0.007226,0.007247,0.010046,0.010889,0.006401,4
bcsstk14,1806,32630,0.004090,0.003952,0.004261,0.003837,0.004271,0.005515,0.006651,0.003837,8
bcsstk15,3948,60882,0.010125,0.008637,0.008100,0.007828,0.008828,0.010478,0.014337,0.007828,8
bcsstk16,4884,147631,0.021161,0.018755,0.017971,0.017973,0.018016,0.018969,0.024899,0.017971,4
bcsstk17,10974,219812,0.032072,0.028609,0.026137,0.027019,0.027691,0.031984,0.033790,0.026137,4
bcsstk18,11948,80519,0.018328,0.016183,0.013982,0.012349,0.016525,0.021305,0.027383,0.012349,8
bmw3_2,227362,5757996,1.469815,1.079057,0.838825,0.750210,0.732259,0.758400,0.776132,0.732259,16
bmw7st_1,141347,3740507,0.806536,0.632114,0.506472,0.464489,0.460422,0.463555,0.496571,0.460422,16
bone010,986703,36326514,90.188300,52.722644,26.607596,16.666931,12.430113,9.564679,9.784804,9.564679,32
boneS01,127224,3421188,1.352215,0.955973,0.688017,0.586126,0.553286,0.546082,0.620325,0.546082,32
boneS10,914898,28191660,10.994874,7.462387,5.231470,4.355529,3.956849,3.922092,4.024653,3.922092,32
bundle1,10581,390741,0.070967,0.063805,0.058915,0.061191,0.065898,0.059230,0.082262,0.058915,4
consph,83334,3046907,3.553796,1.940956,1.234351,0.868626,0.779977,0.718618,0.793315,0.718618,32
crankseg_1,52804,5333507,1.430482,1.019368,0.852111,0.746916,0.717636,0.701188,0.695167,0.695167,40
crankseg_2,63838,7106348,1.881668,1.388961,1.127945,1.007647,0.955010,0.921482,0.935783,0.921482,32
ct20stif,52329,1375396,0.310031,0.241479,0.209474,0.190918,0.191016,0.195994,0.211941,0.190918,8
ecology2,999999,2997995,1.331657,0.889231,0.639906,0.484571,0.688415,1.009611,1.181036,0.484571,8
gyro_k,17361,519260,0.072046,0.063509,0.059075,0.057283,0.057584,0.062473,0.067446,0.057283,8
gyro_m,17361,178896,0.025256,0.026652,0.023478,0.022974,0.024518,0.030717,0.032570,0.022974,8
hood,220542,5494489,1.059129,0.876042,0.731395,0.681925,0.696051,0.762166,0.798400,0.681925,8
inla_graph_83o4NNNo,25853,778924,0.165659,0.131547,0.112489,0.104087,0.099005,0.095707,0.101041,0.095707,32
inla_graph_8rtKSK,7860,32965,0.159448,0.118263,0.081151,0.077551,0.090229,0.095511,0.130117,0.077551,8
inla_graph_animal1,5126,2644501,0.657493,0.511363,0.406576,0.391130,0.407777,0.404441,0.427823,0.391130,8
inla_graph_animal2,50126,251427001,457.118443,286.496732,179.879537,120.331571,94.176776,81.327199,72.080730,72.080730,40
inla_graph_ayaLRw,69224,168584,0.044895,0.036120,0.029206,0.031899,0.053829,0.073179,0.086635,0.029206,4
inla_graph_bern_spd,96344,2181456,0.947975,0.613540,0.518123,0.380737,0.305727,0.448837,0.518116,0.305727,16
inla_graph_diff,21529,200017,0.038779,0.034883,0.029921,0.029245,0.037872,0.051569,0.062404,0.029245,8
inla_graph_ferris,42961,650694,0.158571,0.128658,0.115973,0.119746,0.145089,0.193994,0.205576,0.115973,4
inla_graph_lgm_10010_bw2,10010,327351,0.095669,0.068381,0.055010,0.050562,0.048181,0.048004,0.049128,0.048004,32
inla_graph_lgm_100200_bw1,100200,30054727,19.001295,11.523771,7.769545,6.020484,5.144511,4.653521,4.912469,4.653521,32
inla_graph_lgm_100200_bw2,100200,32026662,50.184309,28.375527,15.579353,10.719170,8.477565,6.751528,6.730831,6.730831,40
inla_graph_lgm_48600_bw2,48600,35663339,49.575696,26.537188,16.382937,11.835684,9.341964,8.214388,8.103949,8.103949,40
inla_graph_lgm_50000_bw15000,50000,7286160,27.965888,16.102679,9.082819,5.777580,3.306011,2.810645,2.858815,2.810645,32
inla_graph_lgm_50400_bw2,50400,23854872,206.540135,111.676436,61.876544,37.076346,24.692891,16.196014,14.944638,14.944638,40
inla_graph_lidense,12509,17292917,2.534747,2.092643,1.758256,1.549301,1.586432,1.586512,1.646857,1.549301,8
inla_graph_net1628760,1628760,14802802,7.301504,5.179430,4.190826,3.518446,3.553209,3.911788,3.932964,3.518446,8
inla_graph_net814381,81438,189532,0.049821,0.037705,0.032336,0.031371,0.047976,0.075419,0.092685,0.031371,8
inla_graph_pedigree,92699,277983,0.150066,0.176385,0.073113,0.040851,0.042237,0.071480,0.080049,0.040851,8
inla_graph_sem_n100000,600006,2700006,0.438487,0.402611,0.364949,0.352709,0.403679,0.476220,0.531412,0.352709,8
inla_graph_sem_n2000,12006,54006,0.005732,0.006705,0.005909,0.005380,0.006543,0.009097,0.010276,0.005380,8
inla_graph_sem_n20000,120006,540006,0.071174,0.068523,0.064585,0.063034,0.072735,0.075396,0.075964,0.063034,8
inla_graph_sem_n5000,30006,135006,0.014802,0.016754,0.016093,0.014980,0.017427,0.021561,0.017524,0.014802,1
inla_graph_sh7Pgi,15815,55395,0.012659,0.011571,0.009338,0.009600,0.014659,0.023656,0.039800,0.009338,4
inla_graph_spacetime,24931,644273,0.474326,0.275369,0.190052,0.157702,0.146348,0.143297,0.142823,0.142823,40
inla_graph_stcov,24300,7388370,1.211902,1.145087,1.052671,0.999744,1.007343,1.043096,1.025776,0.999744,8
inla_graph_yU0G1u,1517823,9238726,1858.007668,1426.671302,1162.850528,708.465062,310.613026,528.872590,336.457930,310.613026,16
inline_1,503712,18660027,6.058289,4.430345,3.293729,2.796774,2.643331,2.576261,2.539135,2.539135,40
ldoor,952203,23737339,5.560649,4.383803,3.861339,3.082363,3.133091,3.332343,3.662146,3.082363,8
m_t1,97578,4925574,1.145422,0.819971,0.677801,0.631299,0.597911,0.592184,0.604178,0.592184,32
msc10848,10848,620313,0.091916,0.078635,0.074876,0.071299,0.071223,0.074318,0.076131,0.071223,16
msc23052,23052,588933,0.101267,0.082231,0.076383,0.071567,0.073207,0.080858,0.080447,0.071567,8
nasa2910,2910,88603,0.011084,0.010845,0.010670,0.010281,0.011117,0.014776,0.015358,0.010281,8
nasa4704,4704,54730,0.009157,0.009225,0.008248,0.008289,0.010654,0.014207,0.015575,0.008248,4
nasasrb,54870,1366097,0.273224,0.210023,0.181034,0.164141,0.162586,0.165733,0.172075,0.162586,16
nd12k,36000,7128473,10.955111,6.582607,3.894833,2.683927,2.048012,1.833409,1.928806,1.833409,32
nd3k,9000,1644345,0.612761,0.420562,0.315112,0.285707,0.285248,0.281230,0.287251,0.281230,32
nd6k,18000,3457658,2.275198,1.438184,0.939836,0.745245,0.699148,0.678900,0.699700,0.678900,32
offshore,259789,2251231,2.220585,1.313846,0.827937,0.605929,0.529320,0.630066,0.721315,0.529320,16
oilpan,73752,1835470,0.347656,0.264777,0.236188,0.218565,0.219002,0.246453,0.272883,0.218565,8
parabolic_fem,525825,2100225,0.763180,0.570911,0.416258,0.391561,0.478466,0.597280,0.677041,0.391561,8
pwtk,217918,5926171,1.339747,0.981903,0.779739,0.700614,0.673057,0.678347,0.694883,0.673057,16
s3dkq4m2,90449,2455670,0.531742,0.391381,0.320102,0.290650,0.291425,0.293548,0.306242,0.290650,8
s3dkt3m2,90449,1921955,0.492647,0.346101,0.278188,0.248415,0.252886,0.268738,0.283839,0.248415,8
ship_001,34920,2339575,0.524311,0.392493,0.324010,0.298432,0.285147,0.274570,0.284743,0.274570,32
ship_003,121728,4103881,2.075751,1.323898,0.898540,0.714517,0.673276,0.615700,0.649874,0.615700,32
shipsec1,140874,3977139,1.300953,0.914591,0.705623,0.590892,0.566389,0.564910,0.589363,0.564910,32
shipsec5,179860,5146478,1.870439,1.234539,0.919872,0.783056,0.729218,0.713901,0.765872,0.713901,32
shipsec8,114919,3384159,1.234036,0.851606,0.621229,0.529570,0.506299,0.496298,0.533212,0.496298,32
smt,25710,1889447,0.455304,0.336955,0.283741,0.256468,0.255090,0.252806,0.253584,0.252806,32
thermal1,82654,328556,0.087044,0.062535,0.047999,0.043085,0.058066,0.085978,0.102807,0.043085,8
thermomech_TC,102158,406858,0.117816,0.085292,0.068015,0.060868,0.077517,0.117811,0.128151,0.060868,8
thermomech_TK,102158,406858,0.115879,0.085495,0.066086,0.060171,0.072213,0.119979,0.138128,0.060171,8
thermomech_dM,204316,813716,0.269586,0.185013,0.141738,0.125313,0.160354,0.238329,0.261748,0.125313,8
thread,29736,2249892,1.074463,0.671458,0.475912,0.398770,0.389493,0.380976,0.416951,0.380976,32
tmt_sym,726713,2903837,1.022391,0.743325,0.525764,0.452514,0.562740,0.899644,0.913333,0.452514,8
lme4_crossed_n146k,146000,1544858,4.482311,,2.895372,1.909414,2.208102,1.892041,2.291104,1.892041,32
lme4_crossed_n42k,42000,440994,0.675302,0.549293,0.528961,0.497207,0.721466,1.057349,1.362926,0.497207,8
lme4_crossed_n94k,94000,992862,2.129215,1.804442,1.424182,1.115426,1.347219,1.561683,1.734818,1.115426,8
