matrix,n,nnz,c1,c2,c4,c8,c16,c32,c40,min,min@c
1138_bus,1138,2596,0.003358,0.003617,0.003276,0.004326,0.006515,0.012381,0.017609,0.003276,4
Emilia_923,923136,20964171,17.786790,13.007845,8.955325,8.090245,7.868084,7.038480,7.108668,7.038480,32
Fault_639,638802,14626683,11.984631,7.380981,6.226080,5.601799,4.748283,4.874774,4.916665,4.748283,16
G2_circuit,150102,438388,1.084318,0.662184,0.433402,0.326642,0.297183,0.321493,0.326144,0.297183,16
af_0_k101,503625,9027150,1.901784,1.585100,1.380750,1.288750,1.268046,1.315129,1.323708,1.268046,16
af_shell3,504855,9046865,1.918959,1.582774,1.393222,1.299988,1.284996,1.305112,1.329997,1.284996,16
apache1,80800,311492,0.948543,0.583204,0.377985,0.302861,0.288174,0.310473,0.312697,0.288174,16
apache2,715176,2766523,9.838935,5.831720,3.740801,2.717531,2.382221,2.461495,2.355368,2.355368,40
audikw_1,943695,39297771,19.236750,13.172401,10.817825,8.843548,8.082721,7.838812,7.861705,7.838812,32
bcsstk08,1074,7017,0.012363,0.011005,0.010874,0.011309,0.012261,0.029636,0.021761,0.010874,4
bcsstk09,1083,9760,0.008448,0.006910,0.006843,0.009495,0.008615,0.015280,0.015814,0.006843,4
bcsstk10,1086,11578,0.002713,0.003017,0.002951,0.005741,0.005179,0.009192,0.010767,0.002713,1
bcsstk11,1473,17857,0.006286,0.006005,0.006213,0.006179,0.008184,0.011583,0.014417,0.006005,2
bcsstk12,1473,17857,0.006218,0.005594,0.005789,0.009241,0.008009,0.011054,0.013601,0.005594,2
bcsstk13,2003,42943,0.040006,0.033066,0.029654,0.028289,0.033354,0.037525,0.038982,0.028289,8
bcsstk14,1806,32630,0.021012,0.018872,0.013990,0.013971,0.017215,0.022218,0.029541,0.013971,8
bcsstk15,3948,60882,0.072326,0.051609,0.042586,0.038825,0.040390,0.048338,0.055592,0.038825,8
bcsstk16,4884,147631,0.033570,0.027971,0.027145,0.025881,0.027761,0.034426,0.035113,0.025881,8
bcsstk17,10974,219812,0.078287,0.060516,0.055541,0.049044,0.050261,0.057577,0.061630,0.049044,8
bcsstk18,11948,80519,0.141721,0.101634,0.080928,0.071135,0.066505,0.075777,0.078268,0.066505,16
bmw3_2,227362,5757996,1.444366,1.165525,1.033948,0.930623,0.915820,0.911461,0.912056,0.911461,32
bmw7st_1,141347,3740507,0.794172,0.675931,0.593151,0.549855,0.545580,0.556725,0.571700,0.545580,16
bone010,986703,36326514,15.598752,11.660137,8.679474,7.305594,6.778817,6.657042,6.554842,6.554842,40
boneS01,127224,3421188,1.165249,0.905194,0.764131,0.705344,0.679828,0.683365,0.677556,0.677556,40
boneS10,914898,28191660,9.618844,7.164450,6.015734,5.200871,4.895718,4.922629,4.938129,4.895718,16
bundle1,10581,390741,0.059710,0.058698,0.055072,0.055578,0.056901,0.058386,0.095367,0.055072,4
consph,83334,3046907,1.132197,0.965291,0.823921,0.707012,0.688545,0.705655,0.711507,0.688545,16
crankseg_1,52804,5333507,1.001410,0.865387,0.807700,0.779180,0.791446,0.785966,0.793863,0.779180,8
crankseg_2,63838,7106348,1.287398,1.131157,1.071319,1.012391,1.012930,1.046659,1.035124,1.012391,8
ct20stif,52329,1375396,0.435508,0.330695,0.290961,0.272781,0.255245,0.268141,0.275208,0.255245,16
ecology2,999999,2997995,6.055175,3.606789,2.289832,1.782879,1.608510,1.675178,1.648240,1.608510,16
gyro_k,17361,519260,0.127174,0.101686,0.087624,0.081810,0.086098,0.098549,0.098939,0.081810,8
gyro_m,17361,178896,0.217516,0.139441,0.099324,0.083886,0.081462,0.092513,0.096231,0.081462,16
hood,220542,5494489,0.959285,0.877106,0.796895,0.769683,0.762725,0.774441,0.772650,0.762725,16
inla_graph_83o4NNNo,25853,778924,0.838200,0.538360,0.361224,0.285405,0.273222,0.285759,0.352577,0.273222,16
inla_graph_8rtKSK,7860,32965,0.034414,0.031088,0.030090,0.028126,0.033021,0.080996,0.111615,0.028126,8
inla_graph_animal1,5126,2644501,0.670348,0.621159,0.598432,0.587074,0.587592,0.615282,0.611520,0.587074,8
