arch,library,host,group,matrix,n,nnz_upper,mtype,cores,rep,analyze_s,factor_s,factor_gflops,factor_nnz,fill_ratio,solve1_s,solve8_s,solve40_s,logdet,status
intel,pastix-6,cn509-15-l,group10,m_t1.mtx,97578,4925574,2,1,1,0.858723,1.145422,42.84,34330887,6.9699,0,0,0,1712163.662070,ok
intel,pastix-6,cn509-15-l,group10,m_t1.mtx,97578,4925574,2,2,1,0.746128,0.819971,88.68,34797969,7.0648,0,0,0,1712163.662069,ok
intel,pastix-6,cn509-15-l,group10,m_t1.mtx,97578,4925574,2,4,1,0.687678,0.677801,164.20,34816806,7.0686,0,0,0,1712163.662069,ok
intel,pastix-6,cn509-15-l,group10,m_t1.mtx,97578,4925574,2,8,1,0.661741,0.631299,267.00,34545861,7.0136,0,0,0,1712163.662069,ok
intel,pastix-6,cn509-15-l,group10,m_t1.mtx,97578,4925574,2,16,1,0.656927,0.597911,326.06,34490817,7.0024,0,0,0,1712163.662070,ok
intel,pastix-6,cn509-15-l,group10,m_t1.mtx,97578,4925574,2,32,1,0.702805,0.592184,311.95,34531452,7.0106,0,0,0,1712163.662069,ok
intel,pastix-6,cn509-15-l,group10,m_t1.mtx,97578,4925574,2,40,1,0.677408,0.604178,265.42,34552251,7.0149,0,0,0,1712163.662069,ok
intel,pastix-6,cn509-15-l,group10,smt.mtx,25710,1889447,2,1,1,0.426101,0.455304,46.73,13992466,7.4056,0,0,0,248159.737394,ok
intel,pastix-6,cn509-15-l,group10,smt.mtx,25710,1889447,2,2,1,0.354825,0.336955,94.43,13621738,7.2094,0,0,0,248159.737394,ok
intel,pastix-6,cn509-15-l,group10,smt.mtx,25710,1889447,2,4,1,0.322161,0.283741,141.13,13963994,7.3905,0,0,0,248159.737394,ok
intel,pastix-6,cn509-15-l,group10,smt.mtx,25710,1889447,2,8,1,0.303732,0.256468,253.44,13876561,7.3442,0,0,0,248159.737394,ok
intel,pastix-6,cn509-15-l,group10,smt.mtx,25710,1889447,2,16,1,0.301120,0.255090,268.84,13876561,7.3442,0,0,0,248159.737394,ok
intel,pastix-6,cn509-15-l,group10,smt.mtx,25710,1889447,2,32,1,0.307698,0.252806,251.02,13876561,7.3442,0,0,0,248159.737394,ok
intel,pastix-6,cn509-15-l,group10,smt.mtx,25710,1889447,2,40,1,0.312316,0.253584,260.20,13876561,7.3442,0,0,0,248159.737394,ok
intel,pastix-6,cn509-15-l,group10,thread.mtx,29736,2249892,2,1,1,0.554795,1.074463,56.05,28849599,12.8227,0,0,0,874494.954663,ok
intel,pastix-6,cn509-15-l,group10,thread.mtx,29736,2249892,2,2,1,0.448182,0.671458,111.22,28828530,12.8133,0,0,0,874494.954663,ok
intel,pastix-6,cn509-15-l,group10,thread.mtx,29736,2249892,2,4,1,0.414386,0.475912,206.14,28828575,12.8133,0,0,0,874494.954663,ok
intel,pastix-6,cn509-15-l,group10,thread.mtx,29736,2249892,2,8,1,0.382446,0.398770,325.86,29061135,12.9167,0,0,0,874494.954663,ok
intel,pastix-6,cn509-15-l,group10,thread.mtx,29736,2249892,2,16,1,0.371140,0.389493,336.84,29050407,12.9119,0,0,0,874494.954663,ok
intel,pastix-6,cn509-15-l,group10,thread.mtx,29736,2249892,2,32,1,0.401965,0.380976,340.65,29057319,12.9150,0,0,0,874494.954663,ok
intel,pastix-6,cn509-15-l,group10,thread.mtx,29736,2249892,2,40,1,0.393086,0.416951,252.77,29057319,12.9150,0,0,0,874494.954663,ok
intel,pastix-6,cn509-15-l,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,1,1,14.364790,19.001295,53.84,282369387,9.3952,0,0,0,922875.998029,ok
intel,pastix-6,cn509-15-l,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,2,1,10.415200,11.523771,112.36,285620438,9.5033,0,0,0,922875.998029,ok
intel,pastix-6,cn509-15-l,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,4,1,8.300315,7.769545,221.86,284811322,9.4764,0,0,0,922875.998029,ok
intel,pastix-6,cn509-15-l,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,8,1,7.282602,6.020484,408.52,281033808,9.3507,0,0,0,922875.998029,ok
intel,pastix-6,cn509-15-l,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,16,1,6.744470,5.144511,643.01,284700760,9.4727,0,0,0,922875.998029,ok
intel,pastix-6,cn509-15-l,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,32,1,6.372363,4.653521,1047.39,285550724,9.5010,0,0,0,922875.998029,ok
intel,pastix-6,cn509-15-l,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,40,1,6.689586,4.912469,922.16,285547947,9.5009,0,0,0,922875.998029,ok
intel,pastix-6,cn509-15-l,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,1,1,17.723007,50.184309,60.09,515293933,16.0895,0,0,0,922876.051816,ok
intel,pastix-6,cn509-15-l,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,2,1,10.874900,28.375527,117.33,516436956,16.1252,0,0,0,922876.051816,ok
intel,pastix-6,cn509-15-l,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,4,1,8.874619,15.579353,232.84,502992366,15.7054,0,0,0,922876.051816,ok
intel,pastix-6,cn509-15-l,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,8,1,7.955072,10.719170,426.70,505003192,15.7682,0,0,0,922876.051816,ok
intel,pastix-6,cn509-15-l,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,16,1,7.178019,8.477565,625.43,509201366,15.8993,0,0,0,922876.051816,ok
intel,pastix-6,cn509-15-l,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,32,1,6.925780,6.751528,1055.28,509205882,15.8994,0,0,0,922876.051816,ok
intel,pastix-6,cn509-15-l,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,40,1,7.137578,6.730831,1046.02,509205906,15.8994,0,0,0,922876.051816,ok
intel,pastix-6,cn509-15-l,group11,inla_graph_lgm_48600_bw2.mtx,48600,35663339,2,1,1,12.414376,49.575696,62.53,347116754,9.7332,0,0,0,447622.101009,ok
intel,pastix-6,cn509-15-l,group11,inla_graph_lgm_48600_bw2.mtx,48600,35663339,2,2,1,10.777009,26.537188,122.67,342491713,9.6035,0,0,0,447622.101009,ok
intel,pastix-6,cn509-15-l,group11,inla_graph_lgm_48600_bw2.mtx,48600,35663339,2,4,1,9.444344,16.382937,226.97,332549265,9.3247,0,0,0,447622.101009,ok
intel,pastix-6,cn509-15-l,group11,inla_graph_lgm_48600_bw2.mtx,48600,35663339,2,8,1,8.829168,11.835684,382.57,337275378,9.4572,0,0,0,447622.101009,ok
intel,pastix-6,cn509-15-l,group11,inla_graph_lgm_48600_bw2.mtx,48600,35663339,2,16,1,8.669417,9.341964,602.59,337164149,9.4541,0,0,0,447622.101009,ok
intel,pastix-6,cn509-15-l,group11,inla_graph_lgm_48600_bw2.mtx,48600,35663339,2,32,1,8.645542,8.214388,834.28,337170040,9.4542,0,0,0,447622.101009,ok
intel,pastix-6,cn509-15-l,group11,inla_graph_lgm_48600_bw2.mtx,48600,35663339,2,40,1,8.679356,8.103949,824.58,337170040,9.4542,0,0,0,447622.101009,ok
intel,pastix-6,cn509-15-l,group1,bcsstk08.mtx,1074,7017,2,1,1,0.012363,0.001422,8.34,71090,10.1311,0,0,0,14650.230028,ok
intel,pastix-6,cn509-15-l,group1,bcsstk08.mtx,1074,7017,2,2,1,0.011005,0.001429,9.47,68743,9.7966,0,0,0,14650.230028,ok
intel,pastix-6,cn509-15-l,group1,bcsstk08.mtx,1074,7017,2,4,1,0.010874,0.001202,10.95,66979,9.5452,0,0,0,14650.230028,ok
intel,pastix-6,cn509-15-l,group1,bcsstk08.mtx,1074,7017,2,8,1,0.011309,0.001124,12.91,66979,9.5452,0,0,0,14650.230028,ok
intel,pastix-6,cn509-15-l,group1,bcsstk08.mtx,1074,7017,2,16,1,0.012261,0.001427,7.08,66979,9.5452,0,0,0,14650.230028,ok
intel,pastix-6,cn509-15-l,group1,bcsstk08.mtx,1074,7017,2,32,1,0.029636,0.002660,2.64,66979,9.5452,0,0,0,14650.230028,ok
intel,pastix-6,cn509-15-l,group1,bcsstk08.mtx,1074,7017,2,40,1,0.021761,0.003748,1.69,66979,9.5452,0,0,0,14650.230028,ok
intel,pastix-6,cn509-15-l,group1,bcsstk09.mtx,1083,9760,2,1,1,0.008448,0.001398,11.12,70842,7.2584,0,0,0,17170.252385,ok
intel,pastix-6,cn509-15-l,group1,bcsstk09.mtx,1083,9760,2,2,1,0.006910,0.001832,9.89,70842,7.2584,0,0,0,17170.252385,ok
intel,pastix-6,cn509-15-l,group1,bcsstk09.mtx,1083,9760,2,4,1,0.006843,0.001227,18.74,70842,7.2584,0,0,0,17170.252385,ok
intel,pastix-6,cn509-15-l,group1,bcsstk09.mtx,1083,9760,2,8,1,0.009495,0.001198,19.25,70842,7.2584,0,0,0,17170.252385,ok
intel,pastix-6,cn509-15-l,group1,bcsstk09.mtx,1083,9760,2,16,1,0.008615,0.001506,9.77,70842,7.2584,0,0,0,17170.252385,ok
intel,pastix-6,cn509-15-l,group1,bcsstk09.mtx,1083,9760,2,32,1,0.015280,0.003322,2.35,70842,7.2584,0,0,0,17170.252385,ok
intel,pastix-6,cn509-15-l,group1,bcsstk09.mtx,1083,9760,2,40,1,0.015814,0.002996,2.81,70842,7.2584,0,0,0,17170.252385,ok
intel,pastix-6,cn509-15-l,group1,bcsstk10.mtx,1086,11578,2,1,1,0.002713,0.001684,1.52,27384,2.3652,0,0,0,14238.307934,ok
intel,pastix-6,cn509-15-l,group1,bcsstk10.mtx,1086,11578,2,2,1,0.003017,0.001873,1.53,27384,2.3652,0,0,0,14238.307934,ok
intel,pastix-6,cn509-15-l,group1,bcsstk10.mtx,1086,11578,2,4,1,0.002951,0.001506,2.80,27384,2.3652,0,0,0,14238.307934,ok
intel,pastix-6,cn509-15-l,group1,bcsstk10.mtx,1086,11578,2,8,1,0.005741,0.001611,2.11,27384,2.3652,0,0,0,14238.307934,ok
intel,pastix-6,cn509-15-l,group1,bcsstk10.mtx,1086,11578,2,16,1,0.005179,0.002075,1.01,27384,2.3652,0,0,0,14238.307934,ok
intel,pastix-6,cn509-15-l,group1,bcsstk10.mtx,1086,11578,2,32,1,0.009192,0.002727,0.62,27384,2.3652,0,0,0,14238.307934,ok
intel,pastix-6,cn509-15-l,group1,bcsstk10.mtx,1086,11578,2,40,1,0.010767,0.003513,0.40,27384,2.3652,0,0,0,14238.307934,ok
intel,pastix-6,cn509-15-l,group1,bcsstk11.mtx,1473,17857,2,1,1,0.006286,0.002643,3.56,58750,3.2900,0,0,0,21933.879929,ok
intel,pastix-6,cn509-15-l,group1,bcsstk11.mtx,1473,17857,2,2,1,0.006005,0.002839,5.13,58174,3.2578,0,0,0,21933.879929,ok
intel,pastix-6,cn509-15-l,group1,bcsstk11.mtx,1473,17857,2,4,1,0.006213,0.002588,5.65,58174,3.2578,0,0,0,21933.879929,ok
intel,pastix-6,cn509-15-l,group1,bcsstk11.mtx,1473,17857,2,8,1,0.006179,0.002495,5.17,58174,3.2578,0,0,0,21933.879929,ok
intel,pastix-6,cn509-15-l,group1,bcsstk11.mtx,1473,17857,2,16,1,0.008184,0.003016,2.49,58174,3.2578,0,0,0,21933.879929,ok
intel,pastix-6,cn509-15-l,group1,bcsstk11.mtx,1473,17857,2,32,1,0.011583,0.004264,1.29,58174,3.2578,0,0,0,21933.879929,ok
intel,pastix-6,cn509-15-l,group1,bcsstk11.mtx,1473,17857,2,40,1,0.014417,0.006816,0.63,58174,3.2578,0,0,0,21933.879929,ok
intel,pastix-6,cn509-15-l,group1,bcsstk13.mtx,2003,42943,2,1,1,0.040006,0.006949,26.70,336636,7.8391,0,0,0,38330.044617,ok
