matrix,n,nnz,c1,c2,c4,c8,c16,c32,c40,best,best@c
1138_bus,1138,2596,0.000422,0.051825,0.027878,0.048780,0.085880,0.138886,0.138703,0.000422,1
Emilia_923,923136,20964171,318.991244,163.899208,85.744242,43.914836,22.608222,13.787885,13.263031,13.263031,40
Fault_639,638802,14626683,184.077635,94.292346,49.902424,25.993340,14.002038,8.503849,7.883801,7.883801,40
G2_circuit,150102,438388,0.321957,0.205856,0.107881,0.059244,0.036267,0.031024,0.028861,0.028861,40
af_0_k101,503625,9027150,3.715750,2.051724,1.082198,0.562127,0.338553,0.290026,0.290694,0.290026,32
af_shell3,504855,9046865,2.428084,1.451616,0.729913,0.405775,0.215654,0.183387,0.180708,0.180708,40
apache1,80800,311492,0.311977,0.202132,0.101448,0.059340,0.031316,0.025223,0.023586,0.023586,40
apache2,715176,2766523,8.257844,4.619860,2.494203,1.323766,0.798818,0.645257,0.649511,0.645257,32
audikw_1,943695,39297771,159.697753,84.400599,43.764336,22.044063,11.500191,7.006728,6.673481,6.673481,40
bcsstk08,1074,7017,0.001357,0.129577,0.201539,0.259413,0.411324,0.446493,0.550481,0.001357,1
bcsstk09,1083,9760,0.000891,0.077280,0.096253,0.129281,0.206244,0.289207,0.218328,0.000891,1
bcsstk10,1086,11578,0.000237,0.203593,0.313507,0.241602,0.469643,0.236165,0.000528,0.000237,1
bcsstk11,1473,17857,0.000763,0.000894,0.135139,0.283087,0.476147,0.575285,0.831012,0.000763,1
bcsstk12,1473,17857,0.000754,0.000794,0.128063,0.288216,0.419110,0.611248,0.707024,0.000754,1
bcsstk13,2003,42943,0.004758,0.004214,0.052343,0.157823,0.273545,0.400696,0.459799,0.004214,2
bcsstk14,1806,32630,0.001591,0.001402,0.064772,0.129716,0.230522,0.207696,0.252638,0.001402,2
bcsstk15,3948,60882,0.007690,0.004437,0.003153,0.084543,0.210507,0.450642,0.453566,0.003153,4
bcsstk16,4884,147631,0.005895,0.006161,0.004793,0.208569,0.860814,2.731585,3.137776,0.004793,4
bcsstk17,10974,219812,0.014412,0.011072,0.006228,0.004656,0.003850,0.663409,0.826435,0.003850,16
bcsstk18,11948,80519,0.021762,0.016512,0.008499,0.005125,0.003642,0.508925,0.752280,0.003642,16
bmw3_2,227362,5757996,1.400232,0.860885,0.451954,0.227540,0.121070,0.083217,0.086655,0.083217,32
bmw7st_1,141347,3740507,0.583959,0.364407,0.187400,0.095115,0.050527,0.034893,0.035015,0.034893,32
bone010,986703,36326514,154.539036,77.308361,40.282908,20.648989,10.673778,6.484623,6.442991,6.442991,40
boneS01,127224,3421188,1.801233,1.081057,0.544646,0.288078,0.154364,0.102853,0.092006,0.092006,40
boneS10,914898,28191660,11.912207,6.594443,3.748386,1.912363,0.997017,0.782717,0.761886,0.761886,40
bundle1,10581,390741,0.025966,0.017286,0.012088,0.007028,0.004866,0.003666,0.003261,0.003261,40
consph,83334,3046907,4.498878,2.555383,1.324970,0.683936,0.365729,0.252484,0.243869,0.243869,40
crankseg_1,52804,5333507,1.214851,0.744474,0.386220,0.194635,0.104307,0.069533,0.059759,0.059759,40
crankseg_2,63838,7106348,1.823139,1.139482,0.578537,0.295285,0.161576,0.106970,0.098115,0.098115,40
ct20stif,52329,1375396,0.270507,0.169205,0.083976,0.043545,0.024174,0.018967,0.018376,0.018376,40
