matrix,n,nnz,c1,c2,c4,c8,c16,c32,c40,best,best@c
1138_bus,1138,2596,0.000632,0.000511,0.000430,0.000368,0.000413,0.000831,0.001438,0.000368,8
Emilia_923,923136,20964171,,,,,106.977857,80.981577,67.093293,67.093293,40
Fault_639,638802,14626683,,,,,56.418297,38.544367,36.329987,36.329987,40
G2_circuit,150102,438388,0.897025,0.561037,0.359597,0.232289,0.160704,0.148437,0.150944,0.148437,32
af_0_k101,503625,9027150,,,,,0.844431,0.665594,0.674041,0.665594,32
af_shell3,504855,9046865,,,,,0.629893,0.575267,0.546358,0.546358,40
apache1,80800,311492,1.208653,0.693417,0.370805,0.220929,0.149069,0.110975,0.094407,0.094407,40
apache2,715176,2766523,,,,,1.720876,1.345163,1.217122,1.217122,40
audikw_1,943695,39297771,,,,,31.620642,16.840311,14.413941,14.413941,40
bcsstk08,1074,7017,0.001644,0.001064,0.000728,0.000631,0.000613,0.000722,0.000922,0.000613,16
bcsstk09,1083,9760,0.001575,0.001152,0.000752,0.000646,0.000626,0.001218,0.001048,0.000626,16
bcsstk10,1086,11578,0.000281,0.000369,0.000431,0.000502,0.000657,0.001184,0.001266,0.000281,1
bcsstk11,1473,17857,0.001045,0.000915,0.000722,0.000600,0.001181,0.001215,0.001325,0.000600,8
bcsstk12,1473,17857,0.001040,0.000877,0.000757,0.000626,0.000664,0.001141,0.001312,0.000626,8
bcsstk13,2003,42943,0.011039,0.006982,0.004253,0.002003,0.001409,0.002014,0.001580,0.001409,16
bcsstk14,1806,32630,0.003092,0.002022,0.001845,0.000969,0.000890,0.001002,0.001285,0.000890,16
bcsstk15,3948,60882,0.022733,0.013284,0.008110,0.004566,0.003605,0.003483,0.003059,0.003059,40
bcsstk16,4884,147631,0.005180,0.003662,0.002805,0.002330,0.002096,0.002712,0.003182,0.002096,16
bcsstk17,10974,219812,0.033738,0.020111,0.013129,0.009964,0.007545,0.006712,0.007180,0.006712,32
bcsstk18,11948,80519,0.047756,0.028377,0.018906,0.010999,0.007861,0.008374,0.007066,0.007066,40
bmw3_2,227362,5757996,,,,,0.332767,0.278551,0.299628,0.278551,32
bmw7st_1,141347,3740507,1.062276,0.604843,0.366768,0.229988,0.145245,0.106826,0.070349,0.070349,40
bone010,986703,36326514,,,,,20.321644,13.409440,12.882593,12.882593,40
boneS01,127224,3421188,3.061392,1.873352,0.966318,0.535148,0.340022,0.233653,0.217448,0.217448,40
boneS10,914898,28191660,,,,,2.629560,1.521032,1.390749,1.390749,40
bundle1,10581,390741,0.011495,0.008452,0.006847,0.004370,0.003075,0.002707,0.002862,0.002707,32
consph,83334,3046907,8.036547,4.388387,2.347777,1.237099,0.712299,0.424412,0.368825,0.368825,40
crankseg_1,52804,5333507,2.154456,1.143887,0.626189,0.348069,0.210477,0.148626,0.159931,0.148626,32
crankseg_2,63838,7106348,3.461253,1.863611,0.953002,0.503274,0.308094,0.206550,0.184659,0.184659,40
ct20stif,52329,1375396,0.513523,0.293006,0.164612,0.107592,0.078201,0.066203,0.053060,0.053060,40
