matrix,n,nnz,c1,c2,c4,c8,c16,c32,c40,best,best@c
1138_bus,1138,2596,0.104348,0.001356,0.000969,0.001606,0.000854,0.001794,0.001729,0.000854,16
Emilia_923,923136,20964171,754.330966,402.708921,198.492540,111.954772,53.094018,39.820180,36.575819,36.575819,40
Fault_639,638802,14626683,415.577960,243.037042,110.846913,56.161409,32.058040,20.977842,20.530059,20.530059,40
G2_circuit,150102,438388,0.543290,0.376667,0.229892,0.168369,0.157454,0.233317,0.203575,0.157454,16
af_0_k101,503625,9027150,5.633200,3.240584,1.849218,1.159942,0.867355,2.484388,0.834086,0.834086,40
af_shell3,504855,9046865,3.709329,2.228218,1.329141,0.901873,0.686113,0.745404,0.948901,0.686113,16
apache1,80800,311492,0.567935,0.320498,0.189698,0.127234,0.098100,0.142173,0.133702,0.098100,16
apache2,715176,2766523,13.375973,7.706433,4.006652,2.359101,1.580789,1.531112,1.573909,1.531112,32
audikw_1,943695,39297771,275.358332,156.344106,85.892909,49.949661,26.138997,13.716769,12.962958,12.962958,40
bcsstk08,1074,7017,0.045184,0.005820,0.006496,0.010217,0.013850,0.021245,0.021910,0.005820,2
bcsstk09,1083,9760,0.003785,0.003652,0.005587,0.009857,0.017454,0.024595,0.030448,0.003652,2
bcsstk10,1086,11578,0.001611,0.002766,0.004107,0.006931,0.012327,0.016676,0.014361,0.001611,1
bcsstk11,1473,17857,0.003873,0.007367,0.007139,0.014282,0.018786,0.027327,0.030835,0.003873,1
bcsstk12,1473,17857,0.003832,0.005760,0.008505,0.016937,0.019161,0.026691,0.144735,0.003832,1
bcsstk13,2003,42943,0.010948,0.007851,0.008545,0.011422,0.019061,0.031368,0.042236,0.007851,2
bcsstk14,1806,32630,0.005174,0.004874,0.006409,0.012662,0.021655,0.032168,0.036303,0.004874,2
bcsstk15,3948,60882,0.018901,0.013346,0.012567,0.013152,0.022905,0.049908,0.050746,0.012567,4
bcsstk16,4884,147631,0.009097,0.009413,0.007588,0.008794,0.012783,0.021850,0.026817,0.007588,4
bcsstk17,10974,219812,0.033079,0.024250,0.019422,0.019300,0.025729,0.043365,0.056955,0.019300,8
bcsstk18,11948,80519,0.032320,0.022534,0.020056,0.024891,0.032291,0.055046,0.065468,0.020056,4
bmw3_2,227362,5757996,2.238756,1.185625,0.706555,0.446751,0.402314,0.381549,0.653689,0.381549,32
bmw7st_1,141347,3740507,0.998698,0.561242,0.364205,0.220353,0.145033,0.144672,0.106941,0.106941,40
bone010,986703,36326514,243.152943,141.506338,72.232367,36.860305,20.511129,13.595570,13.940842,13.595570,32
boneS01,127224,3421188,2.832781,1.435506,0.790122,0.464392,0.329823,0.315541,0.306105,0.306105,40
boneS10,914898,28191660,16.779283,9.409070,5.764200,4.730061,2.652460,1.446176,1.267946,1.267946,40
