matrix,n,nnz,c1,c2,c4,c8,c16,c32,c40,best,best@c
1138_bus,1138,2596,0.010836,0.038340,0.064041,0.039108,0.078954,0.153199,0.098145,0.010836,1
Emilia_923,923136,20964171,492.838341,277.283389,149.587890,76.241715,40.418657,26.630166,24.942404,24.942404,40
Fault_639,638802,14626683,302.059381,159.232624,86.541426,44.260839,23.787966,15.740730,15.944042,15.740730,32
G2_circuit,150102,438388,0.372701,0.226180,0.123044,0.066908,0.042263,0.038918,0.039464,0.038918,32
af_0_k101,503625,9027150,4.361061,2.575943,1.316093,0.685405,0.421879,0.309016,0.292444,0.292444,40
af_shell3,504855,9046865,3.131446,1.690269,0.857832,0.456157,0.259623,0.200692,0.211101,0.200692,32
apache1,80800,311492,0.349947,0.222114,0.116667,0.068432,0.039113,0.031538,0.044746,0.031538,32
apache2,715176,2766523,12.138569,6.626302,3.271318,1.665384,0.918002,0.629749,0.582986,0.582986,40
audikw_1,943695,39297771,228.222531,126.146571,63.594675,32.602446,16.754810,12.084867,10.792531,10.792531,40
bcsstk08,1074,7017,0.007755,0.116466,0.230980,0.316732,0.391007,0.632129,0.651390,0.007755,1
bcsstk09,1083,9760,0.001837,0.083649,0.102062,0.153581,0.150654,0.268261,0.236470,0.001837,1
bcsstk10,1086,11578,0.001289,0.197387,0.267969,0.300349,0.494339,0.451389,0.370899,0.001289,1
bcsstk11,1473,17857,0.001825,0.001490,0.125847,0.259805,0.509374,0.500625,0.395248,0.001490,2
bcsstk12,1473,17857,0.001753,0.002281,0.130046,0.260098,0.468249,0.511900,0.383495,0.001753,1
bcsstk13,2003,42943,0.006855,0.005809,0.062289,0.130892,0.215964,0.347304,0.428270,0.005809,2
bcsstk14,1806,32630,0.002892,0.002375,0.072008,0.092967,0.150965,0.199259,0.270126,0.002375,2
bcsstk15,3948,60882,0.010842,0.007754,0.005588,0.107960,0.183892,0.483626,0.434265,0.005588,4
bcsstk16,4884,147631,0.008638,0.008128,0.008244,0.200450,0.955769,1.370668,2.056816,0.008128,2
bcsstk17,10974,219812,0.019477,0.012980,0.009666,0.007417,0.008356,0.667530,0.863513,0.007417,8
