matrix,n,nnz,c1,c2,c4,c8,c16,c32,c40,min,min@c
1138_bus,1138,2596,0.005177,0.005001,0.005294,0.005894,0.007000,0.008281,0.009818,0.005001,2
Emilia_923,923136,20964171,118.221656,117.902803,118.669883,117.868854,117.648370,118.414291,143.123939,117.648370,16
Fault_639,638802,14626683,87.294350,87.489627,87.126337,87.083765,87.403359,86.928058,87.264032,86.928058,32
G2_circuit,150102,438388,0.838623,0.837108,0.839930,0.847042,0.844491,0.843528,0.872986,0.837108,2
af_0_k101,503625,9027150,6.797623,6.747495,6.835663,6.813524,6.852640,6.829059,6.804436,6.747495,2
af_shell3,504855,9046865,7.858964,8.064910,7.892676,8.028115,7.914881,7.878171,7.903329,7.858964,1
apache1,80800,311492,3.061913,3.067917,3.073866,3.072710,3.070383,3.086420,3.087768,3.061913,1
apache2,715176,2766523,11.733535,11.680472,11.768895,11.779997,11.683323,11.823621,11.856185,11.680472,2
audikw_1,943695,39297771,107.409203,128.780058,128.447358,108.240523,109.069300,108.234602,122.484473,107.409203,1
bcsstk08,1074,7017,0.011022,0.011077,0.011668,0.011271,0.013820,0.015925,0.016483,0.011022,1
bcsstk09,1083,9760,0.013254,0.013128,0.013933,0.014201,0.015761,0.016565,0.017855,0.013128,2
bcsstk10,1086,11578,0.005710,0.006293,0.006173,0.007712,0.008060,0.010986,0.011798,0.005710,1
bcsstk11,1473,17857,0.013257,0.014341,0.013331,0.013845,0.015242,0.016895,0.017800,0.013257,1
bcsstk12,1473,17857,0.012797,0.012904,0.013621,0.013794,0.014839,0.017076,0.017947,0.012797,1
bcsstk13,2003,42943,0.067361,0.064933,0.065591,0.066481,0.067181,0.068314,0.070056,0.064933,2
bcsstk14,1806,32630,0.036529,0.036187,0.037498,0.038518,0.038457,0.040928,0.041618,0.036187,2
bcsstk15,3948,60882,0.132743,0.131665,0.132567,0.133338,0.133878,0.136639,0.142390,0.131665,2
bcsstk16,4884,147631,0.202724,0.197123,0.203854,0.207139,0.382611,0.215824,0.215761,0.197123,2
bcsstk17,10974,219812,0.207649,0.208829,0.209180,0.209975,0.211589,0.213681,0.212531,0.207649,1
bcsstk18,11948,80519,0.266321,0.266659,0.265757,0.269107,0.269397,0.272331,0.272716,0.265757,4
bmw3_2,227362,5757996,5.776784,5.737124,5.744038,5.764215,5.812429,5.772143,5.850192,5.737124,2
bmw7st_1,141347,3740507,3.717730,3.730402,3.775481,3.735312,3.840448,3.775838,3.786869,3.717730,1
bone010,986703,36326514,113.660228,94.473010,113.754293,97.379733,93.897883,94.039701,112.655325,93.897883,16
boneS01,127224,3421188,6.029471,6.021992,6.066075,6.091704,6.017673,6.075974,6.081642,6.017673,16
boneS10,914898,28191660,44.877451,45.079404,46.036473,45.793809,45.532119,45.991782,45.020549,44.877451,1
bundle1,10581,390741,0.146934,0.141249,0.139154,0.138253,0.137382,0.152825,0.139904,0.137382,16
consph,83334,3046907,11.400322,11.487939,11.573568,11.598871,11.516198,11.720213,11.453668,11.400322,1
crankseg_1,52804,5333507,5.410912,5.302748,5.349789,5.355149,5.381843,5.305348,5.299918,5.299918,40
crankseg_2,63838,7106348,7.059850,7.094183,7.078078,7.172423,7.122264,7.206691,7.130058,7.059850,1
ct20stif,52329,1375396,1.754325,1.775553,1.696803,1.716389,1.717378,1.815699,1.778096,1.696803,4
ecology2,999999,2997995,7.556701,7.514429,7.508592,7.501311,7.570525,7.567746,7.653814,7.501311,8
gyro_k,17361,519260,0.526136,0.527901,0.511970,0.519119,0.525323,0.543576,0.518962,0.511970,4
gyro_m,17361,178896,0.321784,0.322564,0.323034,0.326439,0.325021,0.330123,0.332868,0.321784,1
hood,220542,5494489,2.093018,2.086672,2.091391,2.093407,2.097458,2.110364,2.110596,2.086672,2
inla_graph_83o4NNNo,25853,778924,1.605668,1.606568,1.600170,1.607121,1.610843,1.605538,1.611516,1.600170,4
inla_graph_8rtKSK,7860,32965,0.023146,0.023582,0.023908,0.025538,0.026044,0.027916,0.029292,0.023146,1
inla_graph_animal1,5126,2644501,2.304219,2.219836,2.198977,2.255808,2.288344,2.233896,2.343359,2.198977,4
inla_graph_animal2,50126,251427001,224.317745,200.653086,223.324885,199.568711,195.934039,197.765978,197.031009,195.934039,16
inla_graph_ayaLRw,69224,168584,0.800943,0.803950,0.802462,0.804218,0.806403,0.812922,0.812317,0.800943,1
inla_graph_bern_spd,96344,2181456,5.540988,5.703942,5.804360,5.811335,5.797042,5.752378,5.755858,5.540988,1
inla_graph_diff,21529,200017,0.213826,0.219773,0.213408,0.214202,0.216916,0.219504,0.219989,0.213408,4
inla_graph_ferris,42961,650694,1.334461,1.353578,1.336155,1.347919,1.340546,1.346636,1.348598,1.334461,1
inla_graph_lgm_10010_bw2,10010,327351,0.773162,0.765916,0.778851,0.773189,0.771020,0.792631,0.929402,0.765916,2
inla_graph_lgm_100200_bw1,100200,30054727,32.565161,31.824493,32.013476,31.388594,31.634830,31.423482,31.520068,31.388594,8
inla_graph_lgm_100200_bw2,100200,32026662,51.765691,51.196512,50.741557,50.570203,50.459950,53.415540,50.292760,50.292760,40
inla_graph_lgm_48600_bw2,48600,35663339,32.664140,32.040422,31.851514,31.658380,31.667969,31.709490,31.813866,31.658380,8
inla_graph_lgm_50000_bw15000,50000,7286160,29.701711,29.566030,30.515495,30.209632,30.053063,29.846116,29.955085,29.566030,2
inla_graph_lgm_50400_bw2,50400,23854872,79.360131,76.935601,77.164058,77.328935,76.900162,79.851624,79.775269,76.900162,16
inla_graph_lidense,12509,17292917,6.140276,6.060332,5.889468,5.633621,5.676191,5.637897,5.931400,5.633621,8
inla_graph_net1628760,1628760,14802802,25.742134,25.769118,25.764833,26.226635,26.418130,26.441521,26.267018,25.742134,1
inla_graph_net814381,81438,189532,0.948092,0.951574,0.953895,0.954219,0.957183,0.967108,0.960021,0.948092,1
inla_graph_pedigree,92699,277983,0.121158,0.111013,0.112886,0.104353,0.104803,0.110715,0.115085,0.104353,8
inla_graph_sem_n100000,600006,2700006,2.013040,2.308605,1.969857,1.810839,1.727326,1.682175,1.679424,1.679424,40
inla_graph_sem_n2000,12006,54006,0.027868,0.025142,0.025820,0.027014,0.026760,0.029350,0.031217,0.025142,2
inla_graph_sem_n20000,120006,540006,0.250087,0.243686,0.226426,0.218509,0.215765,0.217119,0.217314,0.215765,16
inla_graph_sem_n5000,30006,135006,0.061712,0.058321,0.055704,0.055098,0.055049,0.063593,0.061485,0.055049,16
inla_graph_sh7Pgi,15815,55395,0.162267,0.163171,0.160362,0.167764,0.162903,0.165427,0.166220,0.160362,4
inla_graph_spacetime,24931,644273,3.016986,3.062251,3.047107,3.016617,3.045890,3.041007,3.045421,3.016617,8
inla_graph_stcov,24300,7388370,2.605585,2.339850,2.212240,2.604161,2.557183,2.596233,2.553664,2.212240,4
inla_graph_yU0G1u,1517823,9238726,7.146245,7.249550,7.253868,7.289322,7.336234,7.305510,7.341070,7.146245,1
inline_1,503712,18660027,21.918764,22.046678,21.901065,21.716052,22.263612,22.056904,22.100076,21.716052,8
ldoor,952203,23737339,14.891434,14.756237,14.824301,14.801540,14.836616,14.827076,14.785257,14.756237,2
m_t1,97578,4925574,4.632933,4.594621,4.741596,4.661286,4.610162,4.607724,4.639201,4.594621,2
msc10848,10848,620313,0.480446,0.508413,0.474159,0.494194,0.494246,0.473749,0.504219,0.473749,32
msc23052,23052,588933,0.829799,1.028636,0.813692,0.830483,0.824510,0.847808,0.833941,0.813692,4
nasa2910,2910,88603,0.142574,0.133181,0.474193,0.630311,0.147942,0.206320,0.144587,0.133181,2
nasa4704,4704,54730,0.070760,0.069943,0.071978,0.070816,0.072799,0.074502,0.076941,0.069943,2
nasasrb,54870,1366097,1.912894,1.912941,1.911089,1.916580,1.913937,1.916422,1.916336,1.911089,4
nd12k,36000,7128473,16.661739,16.674671,16.644521,16.628091,16.691160,16.828407,16.670983,16.628091,8
nd3k,9000,1644345,4.862389,4.796939,4.815997,4.805355,4.820159,4.836912,4.799918,4.796939,2
nd6k,18000,3457658,7.374007,7.414438,6.982861,7.030901,7.324712,7.413543,7.429915,6.982861,4
offshore,259789,2251231,7.200738,7.239561,7.228673,7.241700,7.286570,7.232023,7.317794,7.200738,1
oilpan,73752,1835470,2.479976,2.474385,2.480006,2.480894,2.490721,2.468647,2.486019,2.468647,32
parabolic_fem,525825,2100225,3.296522,3.266459,3.251342,3.255478,3.250733,3.281077,3.310796,3.250733,16
pwtk,217918,5926171,5.496004,5.437290,5.567267,5.508145,5.467484,5.496216,5.439104,5.437290,2
s3dkq4m2,90449,2455670,3.351046,3.405091,3.383138,3.389715,3.368142,3.417933,3.371024,3.351046,1
s3dkt3m2,90449,1921955,2.353114,2.356201,2.346372,2.347370,2.350513,2.359654,2.402708,2.346372,4
ship_001,34920,2339575,2.016370,2.105368,2.046523,2.069394,2.019099,2.070559,2.030957,2.016370,1
ship_003,121728,4103881,7.543223,7.410636,7.607386,7.453945,7.422668,7.554251,7.484713,7.410636,2
shipsec1,140874,3977139,4.851965,4.871602,4.833693,4.872486,4.801554,4.811266,4.830078,4.801554,16
shipsec5,179860,5146478,6.467431,6.624626,6.578912,6.472324,6.571955,6.595387,6.599919,6.467431,1
shipsec8,114919,3384159,4.762870,4.815269,4.829262,4.774997,4.837826,4.779158,4.790166,4.762870,1
smt,25710,1889447,2.259949,2.253229,2.329390,2.354111,2.381328,2.319174,2.267042,2.253229,2
thermal1,82654,328556,1.669826,1.681183,1.673682,1.673708,1.679806,1.676241,1.684431,1.669826,1
thermomech_TC,102158,406858,0.471870,0.477206,0.473175,0.475284,0.477266,0.482873,0.510355,0.471870,1
thermomech_TK,102158,406858,0.474215,0.478317,0.475359,0.485704,0.477714,0.483591,0.497692,0.474215,1
thermomech_dM,204316,813716,0.762017,0.766312,0.766938,0.766438,0.775247,0.788789,0.780723,0.762017,1
