matrix,n,nnz,c1,c2,c4,c8,c16,c32,c40,min,min@c
1138_bus,1138,2596,0.005755,0.006390,0.005452,0.006392,0.007497,0.008535,0.011522,0.005452,4
Emilia_923,923136,20964171,130.532755,153.170732,153.386264,152.247800,153.873657,152.553741,154.244998,130.532755,1
Fault_639,638802,14626683,104.303136,105.000323,104.558464,104.849851,104.656125,104.305679,104.708993,104.303136,1
G2_circuit,150102,438388,0.908179,0.933587,0.921844,0.924719,0.920131,0.944397,0.906800,0.906800,40
af_0_k101,503625,9027150,10.409060,10.667113,10.612629,10.604235,10.522818,10.621013,10.671052,10.409060,1
af_shell3,504855,9046865,14.519333,14.657599,14.597244,14.632589,14.837853,14.881647,10.694399,10.694399,40
apache1,80800,311492,3.894556,3.892368,3.909890,3.990353,3.956260,3.786014,3.796045,3.786014,32
apache2,715176,2766523,16.058262,16.162585,16.286148,16.220175,16.148201,16.217449,16.388119,16.058262,1
audikw_1,943695,39297771,122.556392,122.718480,122.497847,123.204283,123.060343,122.535414,122.637119,122.497847,4
bcsstk08,1074,7017,0.012454,0.012093,0.012296,0.013052,0.014319,0.015935,0.017466,0.012093,2
bcsstk09,1083,9760,0.014920,0.014333,0.015178,0.015854,0.016169,0.018395,0.019521,0.014333,2
bcsstk10,1086,11578,0.006261,0.006996,0.006609,0.007167,0.008466,0.010903,0.017705,0.006261,1
bcsstk11,1473,17857,0.013878,0.013767,0.014376,0.015342,0.015041,0.018157,0.019947,0.013767,2
bcsstk12,1473,17857,0.013317,0.014662,0.013704,0.014220,0.015604,0.019616,0.019072,0.013317,1
bcsstk13,2003,42943,0.070090,0.068047,0.070069,0.068629,0.070132,0.072789,0.076283,0.068047,2
bcsstk14,1806,32630,0.038188,0.038818,0.041727,0.039813,0.040404,0.043259,0.043958,0.038188,1
bcsstk15,3948,60882,0.138439,0.138205,0.139299,0.139912,0.146004,0.145091,0.146440,0.138205,2
bcsstk16,4884,147631,0.212104,0.202966,0.201634,0.442301,0.212783,0.220734,0.206558,0.201634,4
bcsstk17,10974,219812,0.219169,0.212984,0.217322,0.215963,0.216032,0.217337,0.220881,0.212984,2
bcsstk18,11948,80519,0.277329,0.278152,0.278475,0.280162,0.282551,0.284876,0.287465,0.277329,1
bmw3_2,227362,5757996,5.861695,5.771758,5.852568,6.060920,5.991136,5.891395,5.854383,5.771758,2
bmw7st_1,141347,3740507,4.174720,3.753816,3.798576,3.807624,3.897139,3.777628,3.778777,3.753816,2
bone010,986703,36326514,100.632580,124.582853,124.839027,101.365560,125.560426,105.378647,124.597795,100.632580,1
boneS01,127224,3421188,6.057632,6.038531,6.031432,6.052187,6.094959,6.010543,6.046488,6.010543,32
boneS10,914898,28191660,54.339543,54.117760,54.252666,53.608758,53.370569,53.321511,55.021694,53.321511,32
bundle1,10581,390741,0.166166,0.173442,0.173170,0.172802,0.175833,0.183642,0.175066,0.166166,1
consph,83334,3046907,14.678739,15.194149,14.677152,14.946688,14.890748,14.913915,14.362411,14.362411,40
crankseg_1,52804,5333507,5.319423,5.470502,5.448947,5.301110,5.319538,5.248511,5.398242,5.248511,32
crankseg_2,63838,7106348,7.114974,7.077284,7.062402,7.091703,7.079068,7.034342,7.217176,7.034342,32
ct20stif,52329,1375396,1.771841,1.776815,1.715923,1.773373,1.765403,1.950154,1.738018,1.715923,4
ecology2,999999,2997995,15.231430,15.608537,15.319452,15.324065,15.365789,15.722160,10.695363,10.695363,40
gyro_k,17361,519260,0.505157,0.515194,0.523346,0.522476,0.511677,0.531453,0.511608,0.505157,1
gyro_m,17361,178896,0.333438,0.333191,0.333647,0.334604,0.335634,0.338140,0.342066,0.333191,2
hood,220542,5494489,2.165529,2.137490,2.148584,2.140459,2.141640,2.215667,2.232649,2.137490,2
inla_graph_83o4NNNo,25853,778924,1.646309,1.652916,1.640606,1.638558,1.651622,1.657660,1.684181,1.638558,8
