arch,library,host,group,matrix,n,nnz_upper,mtype,cores,rep,analyze_s,factor_s,factor_gflops,factor_nnz,fill_ratio,solve1_s,solve8_s,solve40_s,logdet,status
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,m_t1.mtx,97578,4925574,2,1,1,4.632933,0.900543,,32991606,6.698,0.060780,0.110017,0.254688,1712163.662,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,m_t1.mtx,97578,4925574,2,2,1,4.594621,0.548847,,32991606,6.698,0.057569,0.134812,0.407283,1712163.662,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,m_t1.mtx,97578,4925574,2,4,1,4.741596,0.285583,,32991606,6.698,0.039581,0.084054,0.268138,1712163.662,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,m_t1.mtx,97578,4925574,2,8,1,4.661286,0.151715,,32991606,6.698,0.033137,0.065293,0.185551,1712163.662,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,m_t1.mtx,97578,4925574,2,16,1,4.610162,0.093966,,32991606,6.698,0.031812,0.064089,0.170934,1712163.662,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,m_t1.mtx,97578,4925574,2,32,1,4.607724,0.065238,,32991606,6.698,0.033567,0.061481,0.154301,1712163.662,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,m_t1.mtx,97578,4925574,2,40,1,4.639201,0.062086,,32991606,6.698,0.035044,0.059313,0.153673,1712163.662,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,smt.mtx,25710,1889447,2,1,1,2.259949,0.390702,,12932534,6.845,0.022089,0.039859,0.089643,248159.7374,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,smt.mtx,25710,1889447,2,2,1,2.253229,0.241108,,12932534,6.845,0.018958,0.043332,0.139548,248159.7374,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,smt.mtx,25710,1889447,2,4,1,2.329390,0.122033,,12932534,6.845,0.012291,0.028457,0.092276,248159.7374,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,smt.mtx,25710,1889447,2,8,1,2.354111,0.066247,,12932534,6.845,0.009585,0.021712,0.068994,248159.7374,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,smt.mtx,25710,1889447,2,16,1,2.381328,0.036002,,12932534,6.845,0.009038,0.018599,0.050767,248159.7374,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,smt.mtx,25710,1889447,2,32,1,2.319174,0.027834,,12932534,6.845,0.011950,0.021381,0.055254,248159.7374,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,smt.mtx,25710,1889447,2,40,1,2.267042,0.027395,,12932534,6.845,0.013155,0.021384,0.053965,248159.7374,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,thread.mtx,29736,2249892,2,1,1,3.153073,1.313494,,26202267,11.646,0.042923,0.077281,0.173489,874494.9547,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,thread.mtx,29736,2249892,2,2,1,3.314795,0.810820,,26202267,11.646,0.038849,0.078356,0.237105,874494.9547,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,thread.mtx,29736,2249892,2,4,1,3.174616,0.398657,,26202267,11.646,0.023446,0.049880,0.137286,874494.9547,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,thread.mtx,29736,2249892,2,8,1,3.174063,0.203740,,26202267,11.646,0.020183,0.041782,0.122811,874494.9547,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,thread.mtx,29736,2249892,2,16,1,3.194019,0.107574,,26202267,11.646,0.018648,0.037131,0.101189,874494.9547,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,thread.mtx,29736,2249892,2,32,1,3.252278,0.080513,,26202267,11.646,0.024275,0.045771,0.112830,874494.9547,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,thread.mtx,29736,2249892,2,40,1,3.175074,0.073480,,26202267,11.646,0.025969,0.043649,0.110630,874494.9547,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,inla_graph_lgm_10010_bw2.mtx,10010,327351,2,1,1,0.773162,0.023495,,1944163,5.939,0.002160,0.004571,0.013145,92195.4982,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,inla_graph_lgm_10010_bw2.mtx,10010,327351,2,2,1,0.765916,0.016633,,1944163,5.939,0.004592,0.009621,0.041998,92195.4982,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,inla_graph_lgm_10010_bw2.mtx,10010,327351,2,4,1,0.778851,0.015047,,1944163,5.939,0.005124,0.010440,0.040304,92195.4982,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,inla_graph_lgm_10010_bw2.mtx,10010,327351,2,8,1,0.773189,0.017805,,1944163,5.939,0.007093,0.013693,0.046582,92195.4982,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,inla_graph_lgm_10010_bw2.mtx,10010,327351,2,16,1,0.771020,0.191756,,1944163,5.939,0.011610,0.025247,0.047263,92195.4982,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,inla_graph_lgm_10010_bw2.mtx,10010,327351,2,32,1,0.792631,2.559161,,1944163,5.939,0.026519,0.041673,0.067980,92195.4982,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,inla_graph_lgm_10010_bw2.mtx,10010,327351,2,40,1,0.929402,3.599434,,1944163,5.939,0.043133,0.056783,0.074776,92195.4982,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,1,1,32.565161,20.367916,,279383991,9.296,0.742892,1.994350,1.334842,922875.998,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,2,1,31.824493,10.801802,,279383991,9.296,0.271352,0.414850,0.806513,922875.998,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,4,1,32.013476,5.563846,,279383991,9.296,0.148423,0.237595,0.452885,922875.998,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,8,1,31.388594,2.929478,,279383991,9.296,0.128000,0.150314,0.278901,922875.998,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,16,1,31.634830,1.756519,,279383991,9.296,0.094686,0.121474,0.175931,922875.998,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,32,1,31.423482,1.199974,,279383991,9.296,0.083621,0.113415,0.194384,922875.998,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,40,1,31.520068,1.129355,,279383991,9.296,0.095561,0.121231,0.206014,922875.998,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,1,1,51.765691,53.298195,,460365720,14.374,1.141531,3.213965,2.163216,922876.0518,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,2,1,51.196512,28.855769,,460365720,14.374,0.444407,0.672367,1.280959,922876.0518,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,4,1,50.741557,14.406311,,460365720,14.374,0.235564,0.348670,0.684888,922876.0518,ok
intel,stiles-mode-ts40-bw0-pad0-p2_0-omp0,cn509-19-l,,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,8,1,50.570203,7.493801,,460365720,14.374,0.148382,0.210249,0.371395,922876.0518,ok
