matrix,n,nnz,source,sTiles,PARDISO,MUMPS,CHOLMOD,PaStiX,symPACK
inla_graph_83o4NNNo,25853,1531995,INLA,1.389000,0.417963,0.398566,0.055885,0.352577,0.444401
inla_graph_8rtKSK,7860,58070,INLA,0.028000,0.020250,0.008064,0.007677,0.111615,0.115483
inla_graph_animal1,5126,5283876,INLA,1.387000,0.512591,0.081034,0.115956,0.611520,0.634525
inla_graph_animal2,50126,502803876,INLA,109.822000,53.939785,27.304675,14.497435,89.802839,
inla_graph_ayaLRw,69224,267944,INLA,0.776000,0.261423,0.318908,0.075596,0.282804,0.477523
inla_graph_bern_spd,96344,4266568,INLA,0.693000,0.871653,0.638343,0.394556,0.744614,2.439510
inla_graph_diff,21529,378505,INLA,0.183000,0.082502,0.149672,0.021578,0.144088,0.204833
inla_graph_ferris,42961,1258427,INLA,1.158000,0.434282,0.452303,0.130014,0.335864,0.653520
inla_graph_lgm_10010_bw2,10010,644692,INLA,0.631000,0.184336,0.163275,0.037473,0.201208,0.198322
inla_graph_lgm_100200_bw1,100200,60009254,INLA,12.140000,8.635145,6.770136,11.104907,6.689586,9.517840
inla_graph_lgm_100200_bw2,100200,63953124,INLA,18.862000,9.383764,6.744768,12.721962,7.137578,9.981910
inla_graph_lgm_48600_bw2,48600,71278078,INLA,17.669000,6.506519,4.345482,8.707930,8.679356,7.496050
inla_graph_lgm_50000_bw15000,50000,14522320,INLA,21.929000,3.725041,2.140780,14.989110,4.912187,3.502250
inla_graph_lgm_50400_bw2,50400,47659344,INLA,44.569000,10.261337,6.422742,11.790697,9.276785,8.734580
inla_graph_lidense,12509,34573325,INLA,2.992000,2.450241,0.577587,0.951273,3.631933,2.069230
inla_graph_net1628760,1628760,27976844,INLA,26.045000,17.121307,19.979907,4.412865,7.310994,22.074900
inla_graph_net814381,81438,297626,INLA,0.931000,0.293567,0.374798,0.048417,0.136339,0.505154
inla_graph_pedigree,92699,463267,INLA,0.111000,0.348542,0.325135,0.070156,0.121625,
inla_graph_sem_n100000,600006,4800006,INLA,2.576000,1.240116,1.520467,0.153478,1.091157,2.330590
inla_graph_sem_n2000,12006,96006,INLA,0.028000,0.023315,0.021038,0.002470,0.030049,0.055180
inla_graph_sem_n20000,120006,960006,INLA,0.232000,0.221605,0.244565,0.026395,0.206435,0.381347
inla_graph_sem_n5000,30006,240006,INLA,0.055000,0.055513,0.054802,0.006369,0.056969,0.104515
inla_graph_sh7Pgi,15815,94975,INLA,0.155000,0.064156,0.078472,0.008497,0.059862,0.363060
inla_graph_spacetime,24931,1263615,INLA,2.183000,0.470042,0.452357,0.539545,0.427152,0.525323
inla_graph_stcov,24300,14752440,INLA,24.986000,0.770556,0.809630,0.621687,1.640870,1.634990
inla_graph_yU0G1u,1517823,16959629,INLA,7.997000,4.412466,8.667552,1.046814,10.182901,
1138_bus,1138,4054,SuiteSparse,0.010000,0.008528,0.000680,0.000477,0.017609,0.013805
af_0_k101,503625,17550675,SuiteSparse,6.126000,1.373176,1.217245,1.560217,1.323708,1.650540
af_shell3,504855,17588875,SuiteSparse,7.398000,1.421641,1.217974,1.590638,1.329997,1.629530
apache1,80800,542184,SuiteSparse,2.389000,0.398241,0.569078,0.620083,0.312697,0.778315
