matrix,n,nnz,c1,c2,c4,c8,c16,c32,c40,min,min@c
1138_bus,1138,2596,0.008349,0.009926,0.010357,0.010505,0.011382,0.011953,0.013805,0.008349,1
Emilia_923,923136,20964171,20.952000,16.758600,10.948600,10.210000,8.943020,8.473980,8.833330,8.473980,32
Fault_639,638802,14626683,14.478700,11.066400,8.027400,6.728850,5.971980,5.894250,6.187730,5.894250,32
G2_circuit,150102,438388,2.336920,1.682810,1.509030,1.461120,1.221420,1.220620,1.127450,1.127450,40
af_0_k101,503625,9027150,5.844110,4.210340,2.447770,1.898000,1.792420,1.588100,1.650540,1.588100,32
af_shell3,504855,9046865,5.813300,4.175140,2.485880,1.902550,1.683260,1.593600,1.629530,1.593600,32
apache1,80800,311492,1.597890,1.310930,0.888425,0.777412,0.718625,0.704012,0.778315,0.704012,32
apache2,715176,2766523,15.989900,11.442300,9.143430,8.579910,7.745990,7.358010,7.683070,7.358010,32
audikw_1,943695,39297771,32.025300,25.774700,17.795100,15.106700,13.807700,12.810300,13.486800,12.810300,32
bcsstk08,1074,7017,0.021323,0.016199,0.014781,0.013587,0.012825,0.014881,0.023194,0.012825,16
bcsstk09,1083,9760,0.010404,0.010408,0.008992,0.010143,0.009736,0.011413,0.011871,0.008992,4
bcsstk10,1086,11578,0.006785,0.007422,0.005834,0.005842,0.006403,0.007304,0.009153,0.005834,4
bcsstk11,1473,17857,0.012079,0.010079,0.008696,0.010923,0.009703,0.010258,0.010084,0.008696,4
bcsstk12,1473,17857,0.012071,0.011364,0.008996,0.009660,0.008239,0.011731,0.010949,0.008239,16
bcsstk13,2003,42943,0.036944,0.031914,0.025945,0.023786,0.022542,0.022955,0.024267,0.022542,16
bcsstk14,1806,32630,0.022981,0.021632,0.016873,0.016221,0.016403,0.017433,0.019396,0.016221,8
bcsstk15,3948,60882,0.066365,0.058753,0.047059,0.045676,0.044299,0.046511,0.048534,0.044299,16
bcsstk16,4884,147631,0.075413,0.059041,0.039545,0.031901,0.033110,0.030196,0.031649,0.030196,32
bcsstk17,10974,219812,0.149172,0.132701,0.090115,0.074721,0.070971,0.068490,0.069350,0.068490,32
bcsstk18,11948,80519,0.262885,0.207677,0.179265,0.144080,0.123454,0.116783,0.130088,0.116783,32
bmw3_2,227362,5757996,3.723920,2.346760,1.773900,1.389230,1.242410,1.197320,1.224130,1.197320,32
bmw7st_1,141347,3740507,2.147030,1.178920,0.841891,0.719381,0.661009,0.594769,0.682178,0.594769,32
bone010,986703,36326514,28.218600,20.293600,14.180300,12.868000,11.178000,10.207500,11.632300,10.207500,32
boneS01,127224,3421188,2.445580,1.862570,1.201090,1.097200,0.970173,0.954620,0.928587,0.928587,40
boneS10,914898,28191660,21.159000,15.319300,10.789100,9.720240,8.472510,7.914570,8.701420,7.914570,32
bundle1,10581,390741,0.333297,0.221589,0.182791,0.149723,0.152536,0.155650,0.152505,0.149723,8
consph,83334,3046907,2.033900,1.664370,1.139900,0.915145,0.853392,0.767692,0.822759,0.767692,32
crankseg_1,52804,5333507,2.465020,1.891160,1.104010,0.863492,0.680618,0.612884,0.606862,0.606862,40
crankseg_2,63838,7106348,3.241440,2.470600,1.430310,1.061630,0.824918,0.764979,0.757140,0.757140,40
ct20stif,52329,1375396,0.937959,0.657027,0.473110,0.434203,0.417104,0.366704,0.506025,0.366704,32
ecology2,999999,2997995,13.106900,10.735000,7.948480,7.451310,6.740690,6.435770,6.806570,6.435770,32
gyro_k,17361,519260,0.276055,0.206993,0.132869,0.119663,0.095928,0.096569,0.097914,0.095928,16
gyro_m,17361,178896,0.255537,0.214540,0.203897,0.201814,0.201035,0.204244,0.212483,0.201035,16
hood,220542,5494489,3.163360,2.311610,1.374170,1.025660,0.823296,0.730325,0.730397,0.730325,32
inla_graph_83o4NNNo,25853,778924,0.744508,0.640188,0.509495,0.464876,0.448095,0.440118,0.444401,0.440118,32
