matrix,n,nnz,c1,c2,c4,c8,c16,c32,c40,best,best@c
1138_bus,1138,2596,0.019726,0.019790,0.019663,0.019636,0.019686,0.019625,0.019727,0.019625,32
Emilia_923,923136,20964171,276.586000,251.522000,127.003000,125.055000,120.458000,115.145000,126.963000,115.145000,32
Fault_639,638802,14626683,181.960000,153.616000,120.524000,116.668000,110.491000,110.921000,114.640000,110.491000,16
G2_circuit,150102,438388,0.620895,0.318233,0.382971,0.382897,0.188704,0.189463,0.097982,0.097982,40
af_0_k101,503625,9027150,2.969190,2.293960,1.000510,0.605797,0.598829,0.411636,0.430547,0.411636,32
af_shell3,504855,9046865,2.762130,2.147210,0.954947,0.587720,0.479128,0.431143,0.409355,0.409355,40
apache1,80800,311492,0.650734,0.522060,0.237973,0.182510,0.139512,0.126829,0.128306,0.126829,32
apache2,715176,2766523,9.846270,5.480030,3.577950,2.588350,1.915120,1.972040,1.709130,1.709130,40
audikw_1,943695,39297771,134.753000,115.694000,61.623000,54.938400,54.753000,47.298000,51.108000,47.298000,32
bcsstk08,1074,7017,0.009761,0.007637,0.007919,0.007654,0.009527,0.010258,0.010736,0.007637,2
bcsstk09,1083,9760,0.006483,0.006238,0.005714,0.005578,0.006829,0.009316,0.008642,0.005578,8
bcsstk10,1086,11578,0.005100,0.004852,0.004284,0.005576,0.005962,0.006416,0.007759,0.004284,4
bcsstk11,1473,17857,0.006725,0.005874,0.006231,0.005930,0.006513,0.007074,0.007589,0.005874,2
bcsstk12,1473,17857,0.006678,0.006006,0.005958,0.005820,0.006507,0.006721,0.008070,0.005820,8
bcsstk13,2003,42943,0.014626,0.012744,0.010433,0.010482,0.011403,0.013330,0.012579,0.010433,4
bcsstk14,1806,32630,0.006934,0.006165,0.005747,0.005345,0.005825,0.006504,0.006826,0.005345,8
bcsstk15,3948,60882,0.018365,0.016408,0.013074,0.013323,0.012884,0.013307,0.014348,0.012884,16
bcsstk16,4884,147631,0.020645,0.016563,0.012654,0.012350,0.012929,0.012884,0.011885,0.011885,40
bcsstk17,10974,219812,0.032406,0.027876,0.021378,0.015251,0.013026,0.013110,0.012663,0.012663,40
bcsstk18,11948,80519,0.077601,0.053535,0.060115,0.041784,0.027494,0.020929,0.022791,0.020929,32
bmw3_2,227362,5757996,1.569430,0.911870,1.165190,0.849849,0.370550,0.319580,0.327535,0.319580,32
bmw7st_1,141347,3740507,0.750297,1.356880,0.714302,0.459635,0.372471,0.175227,0.175067,0.175067,40
bone010,986703,36326514,96.238300,51.496500,34.687600,29.130800,26.613800,23.381700,21.801600,21.801600,40
boneS01,127224,3421188,1.582120,1.338580,0.714324,0.623507,0.560507,0.571143,0.551505,0.551505,40
boneS10,914898,28191660,9.390110,5.063590,3.979930,2.370320,1.598360,1.128470,1.139100,1.128470,32
bundle1,10581,390741,0.060647,0.119991,0.097087,0.053849,0.072099,0.052259,0.050937,0.050937,40
consph,83334,3046907,3.811400,3.418210,2.388640,2.194500,2.178940,1.813690,1.875000,1.813690,32
crankseg_1,52804,5333507,1.001910,0.812060,0.348991,0.254225,0.219501,0.157996,0.184822,0.157996,32
crankseg_2,63838,7106348,1.406850,1.140870,0.491516,0.372021,0.280736,0.256431,0.230249,0.230249,40
ct20stif,52329,1375396,0.321816,0.196460,0.183488,0.126474,0.069267,0.077408,0.077183,0.069267,16
ecology2,999999,2997995,3.071940,2.422400,1.044010,0.866642,0.478244,0.359276,0.366014,0.359276,32
gyro_k,17361,519260,0.042430,0.031201,0.029161,0.014301,0.019096,0.014299,0.014554,0.014299,32
gyro_m,17361,178896,0.165248,0.155047,0.155610,0.155238,0.155173,0.154182,0.156023,0.154182,32
hood,220542,5494489,0.806299,0.625528,0.297414,0.188421,0.124671,0.098876,0.100364,0.098876,32
inla_graph_83o4NNNo,25853,778924,0.134336,0.103307,0.046418,0.034677,0.028675,0.023198,0.023546,0.023198,32
inla_graph_8rtKSK,7860,32965,3.027030,3.009700,3.013290,3.023540,3.033990,2.996380,3.036040,2.996380,32
inla_graph_animal1,5126,2644501,0.613168,0.621814,0.740385,0.749762,0.750644,0.634298,0.647356,0.613168,1
inla_graph_animal2,50126,251427001,433.734000,432.179000,476.732000,459.798000,466.119000,461.918000,472.902000,432.179000,2
inla_graph_ayaLRw,69224,168584,1.104000,1.091860,1.124940,0.637821,0.510829,0.263916,0.228461,0.228461,40
inla_graph_bern_spd,96344,2181456,1.091240,1.358160,1.332690,0.790782,0.775435,0.788857,0.815100,0.775435,16
inla_graph_diff,21529,200017,0.094305,0.061680,0.082718,0.058534,0.034142,0.039128,0.038133,0.034142,16
inla_graph_ferris,42961,650694,0.209374,0.198927,0.117470,0.117713,0.105435,0.086810,0.089430,0.086810,32
inla_graph_lgm_10010_bw2,10010,327351,0.083299,0.065753,0.036757,0.023728,0.025936,0.025191,0.022682,0.022682,40
inla_graph_lgm_100200_bw1,100200,30054727,15.369800,11.748200,5.338700,3.783060,2.537060,1.851880,1.934960,1.851880,32
inla_graph_lgm_100200_bw2,100200,32026662,44.793700,34.424800,17.994000,9.782590,9.274810,8.336300,8.446060,8.336300,32
inla_graph_lgm_48600_bw2,48600,35663339,30.127100,24.045600,12.971700,11.441100,10.084900,9.451200,9.649490,9.451200,32
inla_graph_lgm_50000_bw15000,50000,7286160,41.180900,40.436200,29.187900,29.074800,28.938600,29.337600,29.815200,28.938600,16
inla_graph_lgm_50400_bw2,50400,23854872,163.294000,134.757000,100.109000,77.382300,76.698100,78.005400,79.786200,76.698100,16
inla_graph_lidense,12509,17292917,2.912570,3.173680,1.145150,3.172740,3.152050,3.280380,3.414480,1.145150,4
inla_graph_net1628760,1628760,14802802,5.517000,8.771420,3.898590,4.083450,4.358690,1.171850,0.819196,0.819196,40
inla_graph_net814381,81438,189532,1.556600,1.704950,1.715990,1.284690,1.219470,1.206330,1.224980,1.206330,32
inla_graph_sem_n100000,600006,2700006,0.400441,0.421195,0.438763,0.485227,0.494586,0.505892,0.532351,0.400441,1
inla_graph_sem_n2000,12006,54006,0.009510,0.009824,0.010392,0.010298,0.011302,0.012675,0.012283,0.009510,1
inla_graph_sem_n20000,120006,540006,0.079920,0.082052,0.081690,0.091287,0.096643,0.102327,0.105186,0.079920,1
inla_graph_sem_n5000,30006,135006,0.019899,0.020380,0.020405,0.023239,0.024918,0.027261,0.027548,0.019899,1
inla_graph_sh7Pgi,15815,55395,23.131500,23.204800,23.123400,23.041000,23.190700,23.126100,23.439600,23.041000,8
inla_graph_spacetime,24931,644273,0.617672,0.518670,0.311032,0.242678,0.223383,0.213313,0.208042,0.208042,40
inla_graph_stcov,24300,7388370,1.616640,2.017680,1.387120,1.392800,1.406080,1.422680,1.490510,1.387120,4
inline_1,503712,18660027,5.350310,2.799520,2.549200,1.108150,0.731715,0.583062,0.481164,0.481164,40
ldoor,952203,23737339,5.393620,3.078350,3.078200,1.802010,1.326050,1.089660,1.112920,1.089660,32
m_t1,97578,4925574,0.860707,0.641256,0.327211,0.228508,0.175820,0.177914,0.150485,0.150485,40
msc10848,10848,620313,0.050522,0.042320,0.024522,0.022695,0.019119,0.017455,0.019070,0.017455,32
msc23052,23052,588933,0.077839,0.056298,0.066192,0.042561,0.022284,0.020603,0.021065,0.020603,32
nasa2910,2910,88603,0.010966,0.009984,0.008323,0.007563,0.008883,0.010099,0.010374,0.007563,8
nasa4704,4704,54730,0.015731,0.013672,0.010463,0.010116,0.009744,0.009826,0.010855,0.009744,16
nasasrb,54870,1366097,0.248200,0.190185,0.074994,0.068820,0.043743,0.038298,0.037458,0.037458,40
nd12k,36000,7128473,15.917000,12.841800,9.546780,9.272350,9.326340,9.356600,9.568760,9.272350,8
nd3k,9000,1644345,0.691421,0.631505,0.537044,0.409352,0.384566,0.374901,0.377604,0.374901,32
nd6k,18000,3457658,3.897440,3.301650,2.859680,2.857460,2.859260,2.885410,2.963780,2.857460,8
offshore,259789,2251231,3.422580,3.053450,1.631310,1.015870,0.775517,0.652658,0.679013,0.652658,32
oilpan,73752,1835470,0.266805,0.223231,0.093349,0.075952,0.055345,0.054047,0.050200,0.050200,40
parabolic_fem,525825,2100225,1.373670,1.037160,0.396298,0.232882,0.227538,0.155025,0.106802,0.106802,40
pwtk,217918,5926171,1.253490,0.966015,0.358544,0.470807,0.216496,0.162961,0.139101,0.139101,40
s3dkq4m2,90449,2455670,0.465867,0.380440,0.161814,0.127627,0.105292,0.110836,0.101444,0.101444,40
s3dkt3m2,90449,1921955,0.448381,0.359870,0.178011,0.131294,0.109833,0.116647,0.103372,0.103372,40
ship_001,34920,2339575,0.384706,0.278753,0.140761,0.103486,0.083929,0.071340,0.070646,0.070646,40
ship_003,121728,4103881,3.488580,4.015020,3.974460,3.923090,2.028110,1.850000,0.809295,0.809295,40
shipsec1,140874,3977139,2.374940,1.917720,1.563760,1.428120,1.359460,1.248550,1.257030,1.248550,32
shipsec5,179860,5146478,2.327640,3.091960,3.083110,3.049640,1.248330,0.764422,0.488482,0.488482,40
shipsec8,114919,3384159,1.776760,1.165000,0.860967,0.920078,0.755797,0.570932,0.551107,0.551107,40
smt,25710,1889447,0.317887,0.262613,0.137131,0.101380,0.099388,0.094974,0.095171,0.094974,32
thermal1,82654,328556,0.168328,0.128360,0.052408,0.034133,0.033434,0.024127,0.021141,0.021141,40
thermomech_TC,102158,406858,0.211850,0.152512,0.078927,0.047844,0.029597,0.021158,0.021193,0.021158,32
thermomech_TK,102158,406858,0.211532,0.152728,0.079503,0.048270,0.029647,0.020911,0.021792,0.020911,32
thermomech_dM,204316,813716,0.425430,0.217286,0.173606,0.084886,0.047691,0.028983,0.028577,0.028577,40
thread,29736,2249892,1.058320,0.826937,0.694410,0.425449,0.429412,0.431802,0.433061,0.425449,8
tmt_sym,726713,2903837,1.841010,1.399670,0.532928,0.336268,0.229068,0.226257,0.176477,0.176477,40
lme4_crossed_n146k,146000,1544858,,,,,,,300.819000,300.819000,40
lme4_crossed_n42k,42000,440994,402.114000,403.602000,401.463000,399.035000,399.074000,,,399.035000,8
