arch,library,host,group,matrix,n,nnz_upper,mtype,cores,rep,analyze_s,factor_s,factor_gflops,factor_nnz,fill_ratio,solve1_s,solve8_s,solve40_s,logdet,status
intel,sympack-7,cn603-09-r,group10,m_t1.mtx,97578,4925574,2,1,1,2.27287,0.860707,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group10,m_t1.mtx,97578,4925574,2,2,1,1.57063,0.641256,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group10,m_t1.mtx,97578,4925574,2,4,1,0.935565,0.327211,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group10,m_t1.mtx,97578,4925574,2,8,1,0.697664,0.228508,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group10,m_t1.mtx,97578,4925574,2,16,1,0.573372,0.17582,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group10,m_t1.mtx,97578,4925574,2,32,1,0.541791,0.177914,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group10,m_t1.mtx,97578,4925574,2,40,1,0.710276,0.150485,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group10,smt.mtx,25710,1889447,2,1,1,0.925462,0.317887,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group10,smt.mtx,25710,1889447,2,2,1,0.675283,0.262613,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group10,smt.mtx,25710,1889447,2,4,1,0.440548,0.137131,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group10,smt.mtx,25710,1889447,2,8,1,0.325554,0.10138,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group10,smt.mtx,25710,1889447,2,16,1,0.306505,0.0993879,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group10,smt.mtx,25710,1889447,2,32,1,0.278616,0.094974,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group10,smt.mtx,25710,1889447,2,40,1,0.279399,0.095171,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group10,thread.mtx,29736,2249892,2,1,1,1.1341,1.05832,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group10,thread.mtx,29736,2249892,2,2,1,0.81041,0.826937,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group10,thread.mtx,29736,2249892,2,4,1,0.497423,0.69441,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group10,thread.mtx,29736,2249892,2,8,1,0.436992,0.425449,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group10,thread.mtx,29736,2249892,2,16,1,0.40814,0.429412,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group10,thread.mtx,29736,2249892,2,32,1,0.399043,0.431802,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group10,thread.mtx,29736,2249892,2,40,1,0.432226,0.433061,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group11,inla_graph_lgm_10010_bw2.mtx,10010,327351,2,1,1,0.306912,0.0832989,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group11,inla_graph_lgm_10010_bw2.mtx,10010,327351,2,2,1,0.272931,0.065753,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group11,inla_graph_lgm_10010_bw2.mtx,10010,327351,2,4,1,0.216531,0.036757,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group11,inla_graph_lgm_10010_bw2.mtx,10010,327351,2,8,1,0.199578,0.0237281,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group11,inla_graph_lgm_10010_bw2.mtx,10010,327351,2,16,1,0.196396,0.0259359,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group11,inla_graph_lgm_10010_bw2.mtx,10010,327351,2,32,1,0.194008,0.0251908,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group11,inla_graph_lgm_10010_bw2.mtx,10010,327351,2,40,1,0.198322,0.022682,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,1,1,17.8673,15.3698,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,2,1,14.7131,11.7482,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,4,1,10.5525,5.3387,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,8,1,10.1012,3.78306,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,16,1,9.42959,2.53706,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,32,1,9.05804,1.85188,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,40,1,9.51784,1.93496,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,1,1,19.121,44.7937,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,2,1,15.7869,34.4248,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,4,1,11.783,17.994,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,8,1,9.84101,9.78259,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,16,1,9.46315,9.27481,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,32,1,9.51431,8.3363,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,40,1,9.98191,8.44606,0,0,0,0,0,0,0,ok
intel,sympack-7,cn603-09-r,group11,inla_graph_lgm_48600_bw2.mtx,48600,35663339,2,1,1,15.6991,30.1271,0,0,0,0,0,0,0,ok
